,SN,0,1,2,3
83,SDSS-II SN 18311,-4.9164567,3.0569127,0.94972044,2.9872105
84,SDSS-II SN 18339,-4.0289817,0.97076315,-0.66293335,1.0029702
85,SDSS-II SN 18365,1.8575842,-1.6678952,5.7817507,2.0288837
86,SDSS-II SN 18601,6.4973974,6.599043,-4.327572,1.2600108
87,SDSS-II SN 18688,5.414236,5.8911233,-3.166665,0.98085487
88,SDSS-II SN 19045,-1.8878915,1.2140176,0.21359637,1.3415735
89,SDSS-II SN 19175,1.6863017,1.0790032,1.5086496,2.3660142
90,SDSS-II SN 19181,2.364567,1.1538982,2.554284,4.706068
91,SDSS-II SN 19336,-5.588251,4.5089445,1.3560331,3.0138507
92,SDSS-II SN 19731,3.9924264,-0.36275497,2.5475347,4.166081
93,SDSS-II SN 20128,0.5783154,4.6787,1.1399378,-0.26540393
94,SDSS-II SN 20695,2.7451532,1.9820182,2.747881,5.3337126
95,SDSS-II SN 21065,3.6124208,4.197817,-1.3312414,1.264808
96,SDSS-II SN 21307,1.3811427,0.61275655,1.5597838,2.7111764
97,SDSS-II SN 21663,6.4080987,6.0790825,-5.9256444,0.92077446
98,SDSS-II SN 3832,-5.575513,2.2414567,2.7454123,-0.2500126
99,SDSS-II SN 4118,-4.477221,2.8584628,1.0690448,3.332714
100,SDSS-II SN 5323,0.99296826,5.137876,2.482955,-1.4809059
101,SDSS-II SN 5595,-1.635031,4.754219,0.68428296,-2.298736
102,SDSS-II SN 5897,2.555169,1.0639223,2.8724377,5.256878
103,SDSS-II SN 6225,4.0364857,6.4005237,-0.5737795,0.30770192
104,SDSS-II SN 6288,1.6119668,1.6858319,-0.88630044,-0.6157097
105,SDSS-II SN 6638,3.7436993,5.181555,-4.211781,-0.6823258
106,SDSS-II SN 7374,0.46144727,4.2601237,1.0329276,0.06411985
107,SDSS-II SN 7978,-1.0624822,0.98033243,0.17384207,1.3852601
108,SDSS-II SN 8165,2.7560203,4.373934,0.68578297,1.8089556
109,SDSS-II SN 8457,6.423268,5.6415305,-5.7877145,1.2324897
110,SN2005eg,-3.9065466,3.9668663,0.39044517,-1.4018705
111,SN2005fe,-1.569815,1.7334046,-0.2569012,-1.4255724
112,SN2005ft,-2.9825795,3.0953863,-0.89072204,-2.7571292
113,SN2005fv,-3.6203306,3.885656,-0.68475175,-2.8971748
114,SN2005fx,-1.4373763,4.011589,0.38329625,-1.4260738
115,SN2005gc,-3.5270066,2.7227688,-4.4551115,-2.5483434
116,SN2005gs,-5.13244,2.5146637,-0.28456673,-1.30641
117,SN2005gt,-7.932057,5.0394626,-3.611245,0.003477042
118,SN2005gu,-3.5422773,1.8936905,0.3342466,1.3178544
119,SN2005hc,-1.1243662,2.3776731,-5.9493365,-0.9718302
120,SN2005ho,-3.8383706,0.6434544,-0.75403875,-3.7252216
121,SN2005hx,-1.9400365,1.0834136,-5.049068,-2.0375817
122,SN2005id,-0.91990274,1.1366132,-4.2022614,-2.0214877
123,SN2005ik,-2.3598318,1.6257565,-0.5338543,-1.3995873
124,SN2005jb,2.6449637,2.9020078,-6.0062437,-1.0195544
125,SN2005jf,-6.888246,3.0291846,-1.2857199,-0.22192717
126,SN2005jl,-2.5428329,1.5536146,-5.1320176,-2.1758065
127,SN2005jy,-5.2199845,0.9453639,-2.8651278,-2.1801863
128,SN2005jz,-4.6466937,3.1299186,0.6322754,-0.29054117
129,SN2005kn,-3.966787,2.1336918,-0.14351745,-1.2674248
130,SN2005li,-2.162117,2.1843824,-4.612534,-2.6229331
131,SN2006fg,-2.7385807,1.6477814,-6.708224,-1.7838526
132,SN2006fx,1.3432988,3.239682,-2.32464,-1.7026873
133,SN2006nu,-1.5749856,1.6989181,-0.9076477,-1.7401154
134,SN2006ok,-3.4590182,0.71078986,-5.8661695,-1.4586016
135,SN2006oo,-2.0839875,0.2940056,0.05147347,2.8019404
136,SN2007ih,-3.9722476,0.9482463,-5.408925,-1.4362224
137,SN2007mr,-6.7238955,1.4192078,-2.4199243,0.41117865
138,SN2007mt,6.4286246,5.6794524,-6.018659,1.1526158
139,SN2007nk,-2.6603324,2.6287382,-0.5064895,-2.165796
140,SN2007nl,-6.7792807,4.82926,-0.33203572,0.20783119
141,SN2007pa,-2.6824362,1.7487508,-2.4405508,-3.0657132
142,SN2007qn,0.9139257,4.208467,1.1047283,-0.042202957
143,SDSS-II SN 13383,1.1482424,5.0180116,-6.441686,-3.1455743
144,SDSS-II SN 14268,-0.34227526,2.4172456,-3.8335166,-2.9201694
145,SDSS-II SN 14792,-1.1404992,2.051155,0.6899909,1.5606557
146,SDSS-II SN 15697,5.5621257,4.887265,-4.2299337,0.82847214
147,SDSS-II SN 16467,-4.893713,1.060585,-4.9627676,-1.7774659
148,SDSS-II SN 16468,4.575895,4.831683,-5.73439,-0.52900004
149,SDSS-II SN 17814,-8.038774,4.6891255,-5.184551,-0.7273477
150,SDSS-II SN 17967,1.6156648,5.1800714,0.41348517,0.81874055
151,SDSS-II SN 19032,5.6670732,4.2752137,-5.066914,-0.03567848
152,SDSS-II SN 19347,-5.508906,1.5366971,2.389897,-1.4076142
153,SDSS-II SN 20278,4.413332,2.7529094,-3.404626,1.5375077
154,SDSS-II SN 7882,-3.579687,0.07944339,2.9970453,-2.2408607
155,SN2005hp,0.94536316,1.7446905,-4.6338696,-3.7428257
156,SN2006fk,-5.1637306,1.2164593,2.0335817,-1.4280866
157,SN2006gw,-0.050642982,6.9076643,-2.257503,0.08152706
158,SN2006la,-5.49648,3.8393745,-1.1721871,-2.191801
159,SN2006pk,-2.9032176,0.3471823,3.6793098,-1.6102281
160,SN2007ik,1.8002836,2.9631162,-2.5850315,-2.8869655
161,SN2007iz,-3.0036075,0.5264452,4.6819835,-2.2980826
162,SN2007jn,0.5084412,1.5872995,-4.6233916,-3.6384912
163,SDSS-II SN 10991,3.0096645,5.3180566,-1.1641707,0.713665
164,SDSS-II SN 13633,3.1472588,3.5662036,-1.6040463,1.123152
165,SDSS-II SN 14413,3.1312156,2.545576,2.0494719,4.523716
166,SDSS-II SN 14475,-5.231345,0.81325775,2.2619967,-0.30954164
167,SDSS-II SN 14531,5.559684,4.355489,-3.3161497,2.1701713
168,SDSS-II SN 15184,3.3498898,1.4443411,2.172096,4.8161645
169,SDSS-II SN 17851,5.290361,5.4224424,-6.0342255,-0.34548712
170,SDSS-II SN 20045,5.9550247,6.3466864,-5.3557596,-0.30424303
171,SDSS-II SN 6333,-2.0934193,2.357592,0.9805556,2.8524091
172,SDSS-II SN 6696,2.958777,2.572744,-4.2429414,-3.183033
173,SN2005ey,-1.5220492,0.8472741,-2.4816744,-3.1576803
174,SN2005ff,-1.2832625,1.9067391,-3.7722318,-4.1942368
175,SN2005fi,0.70073515,1.5765065,-4.604133,-3.9176955
176,SN2005fu,-0.9845273,2.7486923,1.1322161,-1.1700175
177,SN2005fz,-4.461542,2.5961692,-0.361681,-3.341871
178,SN2005ge,1.7504672,2.0834823,-4.6347346,-3.3734746
179,SN2005hu,-4.610383,0.066769384,2.4754455,-2.94584
180,SN2005ia,-4.2668223,0.38147673,2.6007226,-2.1735668
181,SN2005ic,2.3025696,1.9663303,-4.788207,-3.2998114
182,SN2005ie,-5.1284122,0.59172434,1.3369633,-1.7181692
183,SN2005ih,-5.489723,2.7347825,0.33615947,0.44978425
184,SN2005jh,-1.4363642,1.2166482,-2.5140448,-3.0168226
185,SN2005jk,-2.753949,0.44121388,3.8816671,-2.9178214
186,SN2005jo,-2.939108,0.31920084,3.7908673,-1.8137635
187,SN2005jt,4.127492,3.602276,-6.151083,-0.2974078
188,SN2005mh,-5.2133484,1.0202497,2.2084231,-0.57934517
189,SN2006fo,-2.6087124,-0.5071716,-0.5698003,-2.2109876
190,SN2006gm,-6.3694835,3.0501623,-0.3739886,-1.8270695
191,SN2006hc,-3.165522,0.32799608,3.2685237,-1.52587
192,SN2006jo,2.510082,2.4163005,-4.3431745,-3.224138
193,SN2006jx,-2.475366,0.4364113,3.8662288,-1.0564375
194,SN2006no,-2.3691535,0.57640177,3.2844138,-0.51690215
195,SN2007ky,-4.4409003,0.5888764,2.941924,-0.6897207
196,SN2007ny,2.3690145,5.6308465,-3.0635984,0.1699344
197,SDSS-II SN 10997,-0.0045558456,2.5743244,-0.91213256,-1.7207175
198,SDSS-II SN 11120,-1.7456938,1.5703776,-2.9101195,-3.2297473
199,SDSS-II SN 11532,-2.1030993,0.14132029,-0.71644485,-1.5956103
200,SDSS-II SN 12213,5.050153,5.303018,-2.0566568,1.6443449
201,SDSS-II SN 1257,3.1945279,4.8331037,-2.0261323,0.9063595
