,SN,0,1,2
101,SDSS-II SN 5595,-0.49156064,5.1634145,2.2237527
102,SDSS-II SN 5897,1.200171,-7.029338,3.813088
103,SDSS-II SN 6225,-6.7621536,-3.1285932,7.240948
104,SDSS-II SN 6288,-1.1014569,0.017308557,5.7054496
105,SDSS-II SN 6638,-4.898412,-0.7561151,11.399045
106,SDSS-II SN 7374,-4.8007107,-1.0215038,3.7765665
107,SDSS-II SN 7978,2.4972901,-0.2212861,3.1627
108,SDSS-II SN 8165,-4.2422776,-3.8674254,5.2786016
109,SDSS-II SN 8457,-5.89579,-4.0035415,14.348346
110,SN2005eg,2.6838725,5.520484,2.038589
111,SN2005fe,1.2445481,2.92966,4.651097
112,SN2005ft,1.3463635,5.902818,4.3012414
113,SN2005fv,1.4851445,6.76363,3.2316911
114,SN2005fx,0.13075075,4.0181108,2.6755571
115,SN2005gc,2.4309597,7.068133,9.613436
116,SN2005gs,4.3839407,6.281549,3.28064
117,SN2005gt,9.151393,10.744685,3.8432486
118,SN2005gu,5.169332,2.3300517,2.8759801
119,SN2005hc,-0.6473621,7.524375,11.219464
120,SN2005ho,3.7601044,4.9262447,8.246286
121,SN2005hx,0.24566022,7.7056994,9.047569
122,SN2005id,-0.593897,6.280001,8.641326
123,SN2005ik,2.0304952,3.5606763,4.7943563
124,SN2005jb,-6.4867864,2.1824536,12.786709
125,SN2005jf,7.0854926,7.443222,3.4938533
126,SN2005jl,1.0621403,7.839415,9.359837
127,SN2005jy,4.653467,7.3291097,7.0558724
128,SN2005jz,4.6061506,4.94862,2.0379465
129,SN2005kn,3.591734,5.0886784,3.7029576
130,SN2005li,1.0436949,6.7306294,9.559416
131,SN2006fg,0.8284926,9.368274,10.491944
132,SN2006fx,-2.5406396,1.5585407,7.4020295
133,SN2006nu,1.0420946,3.5275574,5.286844
134,SN2006ok,1.5045043,9.698509,8.957344
135,SN2006oo,4.641457,-0.9205034,2.9104345
136,SN2007ih,2.3642015,9.448592,8.764359
137,SN2007mr,7.554349,6.666657,5.674083
138,SN2007mt,-5.9176884,-3.867327,14.635994
139,SN2007nk,1.6083759,4.908678,4.2315917
140,SN2007nl,7.6567936,7.8320665,1.2528958
141,SN2007pa,1.684752,5.6962876,6.9144754
142,SN2007qn,-4.906438,-1.308887,3.5928822
143,SDSS-II SN 13383,-2.792633,3.2053216,13.652489
144,SDSS-II SN 14268,-0.9096822,4.584513,9.493196
145,SDSS-II SN 14792,2.2658417,-0.71787584,4.3510184
146,SDSS-II SN 15697,-5.9399796,-3.398541,12.150509
147,SDSS-II SN 16467,3.0499089,9.36109,7.715643
148,SDSS-II SN 16468,-5.6580033,-0.94887364,13.363985
149,SDSS-II SN 17814,9.15032,11.86443,5.5520997
150,SDSS-II SN 17967,-5.1924934,-1.9634197,5.2134395
151,SDSS-II SN 19032,-6.87038,-2.16506,12.994709
152,SDSS-II SN 19347,4.891667,6.889797,-0.9547309
153,SDSS-II SN 20278,-1.5104632,-3.9089174,9.285598
154,SDSS-II SN 7882,2.0249197,6.6063657,-2.844345
155,SN2005hp,-3.4245367,5.2002273,8.903531
156,SN2006fk,4.1730003,6.7537913,-0.7624217
157,SN2006gw,-5.9659505,2.924985,3.4069545
158,SN2006la,3.5883257,8.145818,3.1339753
159,SN2006pk,0.71393514,6.5042377,-2.8773503
160,SN2007ik,-3.3967097,2.8070855,7.9031744
161,SN2007iz,0.36907092,7.538669,-3.821303
162,SN2007jn,-2.96695,5.4447465,8.796113
163,SDSS-II SN 10991,-5.021701,-2.2787097,7.428425
164,SDSS-II SN 13633,-2.9167235,-2.618371,7.6449103
165,SDSS-II SN 14413,-0.82166094,-7.3418207,3.8860319
166,SDSS-II SN 14475,4.070889,5.677767,-1.2458671
167,SDSS-II SN 14531,-4.4847035,-5.0811152,10.5281315
168,SDSS-II SN 15184,0.09568978,-7.343364,3.1161313
169,SDSS-II SN 17851,-5.438451,-1.7546145,14.137684
170,SDSS-II SN 20045,-4.3273134,-2.6913996,14.097676
171,SDSS-II SN 6333,3.7498662,-1.9179522,4.9065213
172,SDSS-II SN 6696,-5.118162,3.6575994,9.678166
173,SN2005ey,1.2383819,4.322803,7.8557453
174,SN2005ff,1.0550432,4.6698694,9.798579
175,SN2005fi,-3.2930586,5.379462,8.583374
176,SN2005fu,0.24890612,2.443944,2.8090675
177,SN2005fz,2.2429583,7.610435,4.4371204
178,SN2005ge,-4.0218725,4.75463,9.491512
179,SN2005hu,3.0524404,7.904608,-2.4659622
180,SN2005ia,2.7644413,6.959149,-2.2657838
181,SN2005ic,-4.672809,4.818605,9.7175865
182,SN2005ie,3.3996754,7.2672677,-0.48996025
183,SN2005ih,6.0811086,5.062557,2.2476993
184,SN2005jh,0.91373444,4.4813485,7.75623
