,SN,0,1,2,3,4,5
62,SDSS-II SN 14053,-2.8965847,5.0892997,3.7347412,-0.5734272,-0.48141485,-0.15614317
63,SDSS-II SN 14102,-1.1206337,1.7696127,0.4463883,3.014411,0.4663528,2.3532536
64,SDSS-II SN 14228,1.5169165,1.6588744,0.13568048,0.5388367,1.7045014,2.3700836
65,SDSS-II SN 14285,-3.582266,3.6089792,4.3477445,-0.022947364,-0.32939857,-2.0269186
66,SDSS-II SN 14322,-0.70343494,3.7039146,2.5539927,0.9796677,0.2962696,0.29871345
67,SDSS-II SN 1456,2.1295276,0.64939797,-0.5009574,0.22298497,3.6097898,1.7872887
68,SDSS-II SN 14851,-2.2996774,2.7018404,3.9929237,-1.6933968,-0.39723665,-3.188123
69,SDSS-II SN 1513,1.083337,0.017119221,0.27433336,1.66931,1.3293298,1.9502434
70,SDSS-II SN 15428,-0.6360235,4.3391056,2.1488721,0.0073344065,0.33405498,0.4840186
71,SDSS-II SN 15470,0.4329814,3.763533,2.5968752,-0.6284153,0.5922582,-0.7301857
72,SDSS-II SN 1562,-3.22882,4.617131,4.073093,-0.79150426,-0.49510875,-1.0362642
73,SDSS-II SN 15988,1.8992941,1.3074149,0.8007946,-0.90085053,0.8823504,1.3215767
74,SDSS-II SN 15992,-0.5351378,4.1949267,2.235614,0.1924564,0.328824,0.43478593
75,SDSS-II SN 16094,-2.897895,4.8163867,3.7910335,-0.7592168,-0.3775793,-0.6495122
76,SDSS-II SN 1706,1.2375311,1.7111692,0.7324221,0.8131448,1.0599294,2.339295
77,SDSS-II SN 17455,2.3205874,-1.3704972,-1.5581074,-0.7081465,4.449727,-1.4670405
78,SDSS-II SN 17644,-0.37110415,-0.53618187,2.407924,-0.95132226,-0.28234598,-3.6464877
79,SDSS-II SN 17845,0.8992055,-0.01933921,0.46288046,1.7867712,1.0041256,1.8406521
80,SDSS-II SN 18032,1.656687,2.0906138,0.44806597,-0.6216922,0.97397536,1.7734519
81,SDSS-II SN 18048,2.3754032,0.7993882,-1.1980555,-1.606652,3.8805032,0.47243172
82,SDSS-II SN 18165,-0.41000366,4.217422,2.1181366,0.0020174198,0.321224,0.48298192
83,SDSS-II SN 18311,2.2241921,0.42883575,-0.6233411,-0.10573571,3.7295115,1.579941
84,SDSS-II SN 18339,1.8948275,-1.5652019,0.16438842,0.9766888,2.2108605,0.9934394
85,SDSS-II SN 18365,-2.8301654,0.639864,-0.4996094,0.12523058,-0.53730744,3.3713126
86,SDSS-II SN 18601,-2.5935667,4.8584013,3.6454127,-1.245799,-0.36285493,-0.6729015
87,SDSS-II SN 18688,-1.5644677,4.511827,2.8896575,-1.158869,0.26036566,-0.65170956
88,SDSS-II SN 19045,1.5055624,-0.16333838,0.8487481,0.7124717,1.1958064,1.6235949
89,SDSS-II SN 19175,0.23010986,2.249619,1.1986796,0.9954755,-0.41408244,2.0612404
90,SDSS-II SN 19181,-0.87415725,3.4759138,0.38343334,1.3849593,0.78773767,2.6915686
91,SDSS-II SN 19336,2.3321638,1.0194166,-1.0732261,-1.1193484,4.0337963,0.91788864
92,SDSS-II SN 19731,-2.026336,3.440404,0.3491668,2.121638,-0.014452901,1.6642283
93,SDSS-II SN 20128,1.7779831,1.7029512,1.2927066,-2.1773443,0.22763424,0.5245845
94,SDSS-II SN 20695,-1.0926381,4.126404,0.07165761,0.8978533,1.1127602,2.5568862
95,SDSS-II SN 21065,0.44369692,3.7369533,2.4701402,-0.22452223,0.29643276,0.021881424
96,SDSS-II SN 21307,0.06510186,2.1256046,1.2303723,1.4708376,-0.1640541,2.2092767
97,SDSS-II SN 21663,-3.3624613,4.3309984,4.1596804,-0.50438267,-0.3902891,-1.3641627
98,SDSS-II SN 3832,0.77702,-1.4499013,-0.16379389,-2.0909176,3.255787,1.2897071
