,SN,0,1,2,3,4,5,6,7
48,SDSS-II SN 9155,1.3999426,0.19704853,-0.7038632,2.3978424,-0.47373134,2.9982784,-0.22099297,-1.2577757
49,SN2005fq,2.344207,0.8206671,-0.8778436,3.2135105,-0.7395985,2.8585868,1.0850685,-2.523094
50,SN2005hw,1.9379177,-2.2352102,-1.7856005,1.637792,-0.6623673,1.5899925,-0.40169737,-2.3371606
51,SN2005lk,-0.1609309,1.0613328,0.46929872,2.5465786,-2.4791007,1.5391997,-0.5103881,0.011829577
52,SN2006lm,0.5262816,-2.2029335,-0.6765039,1.0309186,-0.5908646,-0.85564256,-0.35070106,-1.7910638
53,SN2006oy,0.38374048,-1.1967466,0.5373474,2.3455234,0.6056795,0.5655367,-1.548267,-0.37234154
54,SN2006ta,0.7841032,-1.064054,0.40296486,2.009181,1.5604626,1.2194299,-1.034554,-0.07542069
55,SN2007jc,0.4798776,-0.060270853,-0.25651002,2.6578617,-2.1670144,1.8986564,-1.5152646,-0.5568297
56,SN2007jx,-0.23511422,-0.5734269,0.3880408,0.2660012,-0.0066201803,-2.1337948,0.4134022,-0.695219
57,SN2007qz,0.1615665,0.013056904,1.2429503,1.4394805,0.9894033,-1.211758,0.16275468,0.012857571
58,SDSS-II SN 10106,0.38003948,-1.4073682,0.22640565,2.348522,0.13695134,0.7232617,-1.7630951,-0.7104398
59,SDSS-II SN 11094,-0.48098278,1.3611709,1.1160462,0.117960945,0.0056696367,-0.6777407,4.767634,-0.21510799
60,SDSS-II SN 11850,-0.5736854,0.6882695,2.0432196,-0.9697749,-0.19404969,1.3785994,4.9945493,0.798895
61,SDSS-II SN 13955,0.736261,-0.63396144,0.75098723,0.9156383,2.1984727,0.50399905,0.5826973,0.16029492
62,SDSS-II SN 14053,-0.8811037,0.3175611,2.016391,-1.7979072,-0.76972854,0.7318255,5.0140586,0.7288099
63,SDSS-II SN 14102,-0.78169334,-0.6336364,0.004185237,-1.6131169,-2.752134,-1.4740424,0.98362887,-0.4939557
64,SDSS-II SN 14228,0.64586633,-1.9739661,-0.81326675,-0.7758846,-0.12832893,-1.6605302,1.4125667,-1.3842553
65,SDSS-II SN 14285,-1.2473334,1.5021467,2.4767752,-0.16695638,-1.7208583,1.5916742,4.4846826,0.846738
66,SDSS-II SN 14322,-0.4848014,0.54225034,1.1358805,-0.83075476,-0.7725679,-1.6064235,3.4462159,-0.23374085
67,SDSS-II SN 1456,1.3601503,-2.4549477,-1.4806083,0.099708065,-0.23881237,-0.6642932,1.1990443,-2.416174
68,SDSS-II SN 14851,-0.43189502,1.6073675,2.215804,0.9924333,0.1334692,2.1184132,3.9394433,0.98888236
69,SDSS-II SN 1513,0.13467664,-1.528156,-0.65400755,0.029923597,-1.2283386,-1.7406738,0.081828035,-1.1681169
70,SDSS-II SN 15428,-0.24779089,0.15909821,0.8644434,-1.2560501,0.0060451496,-1.1877124,3.9229445,-0.086826384
71,SDSS-II SN 15470,-0.05427322,0.7683049,1.0200626,0.06517506,1.0293356,-1.1793493,3.8225203,-0.27239218
72,SDSS-II SN 1562,-0.9210898,0.78475744,2.2516925,-1.1281492,-0.8907224,1.3918266,5.010197,0.8603348
73,SDSS-II SN 15988,0.57088536,-1.4161842,-0.013006374,0.013896373,1.3654939,-1.3202361,1.1600348,-0.865371
74,SDSS-II SN 15992,-0.2741041,0.25136548,0.9170082,-1.1253817,-0.075506255,-1.3508637,3.8107872,-0.13691226
75,SDSS-II SN 16094,-0.8039876,0.58396673,2.0435965,-1.3493129,-0.69447994,0.9877561,5.004554,0.7203352
76,SDSS-II SN 1706,0.21281855,-1.5785395,-0.32759142,-0.8458372,-0.22458023,-2.152552,1.3422549,-1.1294842
77,SDSS-II SN 17455,2.2857432,-1.4928117,-1.807055,1.7489319,-0.28919795,2.4258401,0.09690514,-2.2225049
78,SDSS-II SN 17644,-0.128315,1.5301268,1.2551221,2.3719523,0.2657299,1.6252339,0.7385211,0.7237419
79,SDSS-II SN 17845,0.0026283357,-1.2414428,-0.49041495,0.034710117,-1.2754471,-1.8986666,-0.012139849,-1.0137209
80,SDSS-II SN 18032,0.60346174,-1.5291743,-0.31881148,-0.7187073,1.1152855,-1.4592539,1.659592,-0.8362456
81,SDSS-II SN 18048,2.1673677,-1.9504143,-1.6764255,0.28581005,1.0718778,0.8904987,1.3811667,-2.0305266
82,SDSS-II SN 18165,-0.19426851,0.16268308,0.84119946,-1.1597095,0.13205802,-1.311991,3.7870219,-0.11900041
83,SDSS-II SN 18311,1.4866003,-2.465916,-1.5481553,0.24045739,-0.003303834,-0.34349775,1.0537804,-2.4725025
84,SDSS-II SN 18339,0.50176305,-2.0742846,-0.6166239,1.350748,-0.9183579,-0.5438173,-0.701908,-1.6566932
85,SDSS-II SN 18365,-1.3068539,-0.017966254,-0.015194619,-3.1064608,-0.32926214,-0.3931245,-0.3719575,-1.2224474
86,SDSS-II SN 18601,-0.5761613,0.49614736,1.9345454,-1.2740734,-0.19530381,1.0631166,5.0182347,0.71920854
87,SDSS-II SN 18688,-0.19180284,0.576394,1.3948716,-0.80331856,0.24403612,0.28832135,4.666526,0.24089418
88,SDSS-II SN 19045,0.14613713,-1.5351548,-0.18805288,0.51744336,-0.22179095,-1.6938124,0.07577608,-1.2605877
89,SDSS-II SN 19175,0.052819192,-0.5221308,0.54469216,-1.5479133,-0.5030749,-2.1398525,1.4261786,-0.2951516
90,SDSS-II SN 19181,-0.54871213,-1.1863235,-0.1686811,-2.4237208,-1.3728166,-1.1809264,2.5199475,-0.66982204
91,SDSS-II SN 19336,2.0571852,-2.1199353,-1.7422898,0.09799801,0.72561806,0.44239432,1.5810905,-2.2637074
92,SDSS-II SN 19731,-1.5109823,-0.34317535,0.23149706,-2.2109938,-1.9341912,-0.8209869,2.3571513,0.3384255
93,SDSS-II SN 20128,0.6826158,-0.86031127,0.72560877,0.2320395,2.2679198,-0.6154251,1.6411198,-0.24009912
94,SDSS-II SN 20695,-0.47222707,-1.2250724,-0.43057597,-2.5461936,-1.1348863,-0.5983781,3.146111,-0.60280186
95,SDSS-II SN 21065,0.07372311,0.4432415,1.037843,-0.4334459,0.6941444,-1.6098347,3.4993212,-0.28058392
96,SDSS-II SN 21307,-0.13007103,-0.5907063,0.50253505,-1.5308253,-0.983449,-2.2110493,1.3843523,-0.4904832
97,SDSS-II SN 21663,-1.0237049,1.0479265,2.3076744,-0.8135767,-1.1954632,1.4182677,4.9089923,0.8159071
98,SDSS-II SN 3832,0.16618519,-1.5117296,-0.96178687,0.37573665,1.3896927,0.94760144,-0.37163872,-2.9645379
99,SDSS-II SN 4118,1.3683008,-2.4337156,-1.4681889,0.06345542,-0.16522,-0.6727753,1.2445178,-2.3863373
100,SDSS-II SN 5323,0.67398447,-0.4335602,0.9968987,0.03825363,2.3405623,0.7661122,1.6335258,0.37006128
101,SDSS-II SN 5595,0.7886573,-0.7765522,0.5493357,1.1042491,2.1159668,0.84817433,-0.068319246,0.1872663
102,SDSS-II SN 5897,-0.7029088,-1.2125031,-0.34783307,-2.5457597,-1.6470652,-0.8570891,2.7024302,-0.70663613
103,SDSS-II SN 6225,0.56871814,-0.10883138,1.069487,-0.6109438,1.7482973,0.28939816,3.1696162,0.29841462
104,SDSS-II SN 6288,0.14835452,0.5534725,1.4633157,0.52071667,0.13553429,-1.8211856,0.8565861,0.049052615
105,SDSS-II SN 6638,-0.24724972,1.5902576,1.5250819,0.90226954,0.1307862,0.3483593,3.9729924,0.09267038
106,SDSS-II SN 7374,0.668624,-0.9801554,0.62922025,0.19816907,2.047451,-0.9394317,1.4167125,-0.3825086
107,SDSS-II SN 7978,-0.044829585,-1.1478695,-0.007537294,0.26067567,-0.32307515,-2.0054576,0.25399783,-1.0321608
108,SDSS-II SN 8165,0.24052674,-0.5090404,0.2494205,-1.1521351,1.4297341,-1.4131994,2.8616261,-0.07100523
109,SDSS-II SN 8457,-1.0696243,1.012853,2.2177355,-0.9321978,-1.3723664,1.0871736,4.8834133,0.6962017
110,SN2005eg,1.0999674,-1.6701555,-0.3232883,1.3058269,1.7592603,0.67101055,-0.6348308,-0.6757744
111,SN2005fe,0.049638756,-1.0160817,0.79991186,1.5615492,0.8544318,-1.1557043,-0.64941365,-0.50593084
112,SN2005ft,0.52527845,-1.019203,0.71202815,2.1969678,1.2417127,0.54074925,-1.0830296,-0.08811093
113,SN2005fv,0.78197724,-1.1128273,0.4549346,2.114918,1.6295567,1.2018226,-1.0588967,-0.09985871
114,SN2005fx,0.72024757,-0.98172253,0.6265801,1.3314396,1.9746282,-0.18455821,0.36089838,-0.25358072
115,SN2005gc,0.34034228,0.55218536,0.4449965,2.6913254,-0.71256584,1.8094347,-0.758323,-0.20840247
116,SN2005gs,0.88663065,-1.9595422,-0.6763132,1.6253772,0.5823826,0.80551785,-1.549031,-1.1848164
117,SN2005gt,2.1576264,-0.09983004,-1.3713783,2.1770706,-0.336149,3.254784,0.45214275,-1.9020052
118,SN2005gu,0.6364966,-2.2423599,-0.66719216,0.85393924,0.01705725,-0.89662874,-0.15539876,-1.7432
119,SN2005hc,-0.54322475,0.70462906,1.3471954,3.0797756,-2.0842333,0.67136914,0.4969474,-0.0584024
120,SN2005ho,-0.7072414,-0.6733625,0.5687406,2.5793371,1.1534933,1.1557608,-1.3090444,-1.2973751
121,SN2005hx,-0.42288014,1.0091549,0.7325596,2.1584227,-1.7963946,0.6644637,-0.74866194,0.026975947
122,SN2005id,-0.5433785,1.0396677,1.0437253,1.9337387,-1.1866318,-0.06641002,-0.5622093,0.1928132
