,SN,0,1,2,3,4,5,6
56,SN2007jx,-14.818387,3.471831,-3.5432358,14.14727,9.386599,0.28591925,-4.343365
57,SN2007qz,-16.434246,1.7145472,6.8093963,1.4008162,0.15719388,-0.2861273,2.2655404
58,SDSS-II SN 10106,-0.51106405,0.7227606,1.6210079,9.979464,-2.3604004,-10.952302,10.218348
59,SDSS-II SN 11094,-11.054311,2.3763163,-3.2054644,-3.9096255,-1.0438827,2.9961867,-1.9377193
60,SDSS-II SN 11850,3.294947,1.183489,-5.0038886,-11.064622,-7.5022044,-2.7971084,-4.4451833
61,SDSS-II SN 13955,1.0751423,4.895722,-0.045823548,0.8429903,13.7930355,-2.9862313,-6.125572
62,SDSS-II SN 14053,-2.6703303,0.55816483,-3.8268971,-7.243988,-4.634052,-4.5383964,-11.100375
63,SDSS-II SN 14102,1.74253,1.8673347,-12.427989,-1.722235,1.2182732,-2.1196702,-8.545597
64,SDSS-II SN 14228,-6.3135595,-10.629077,-6.206291,1.5888222,-4.071555,0.25839558,-3.9282482
65,SDSS-II SN 14285,4.438446,-2.5856237,1.4936138,-8.765355,-4.5197554,-7.761997,11.042197
66,SDSS-II SN 14322,5.3306837,1.2000098,-6.7091737,-0.44388488,-9.654941,-6.6186986,7.0725703
67,SDSS-II SN 1456,8.971354,5.70767,0.35327142,-7.1379004,-10.822091,-3.9949443,-4.934274
68,SDSS-II SN 14851,-0.7588393,1.696141,-3.5304239,16.090717,6.4790573,0.7775908,-1.6842551
69,SDSS-II SN 1513,-4.321641,2.0750008,0.38028783,7.534941,-3.7590632,-5.323573,-8.144527
70,SDSS-II SN 15428,2.4347925,-8.130279,-0.8036866,-6.1412826,1.6636045,-10.404828,6.5674353
71,SDSS-II SN 15470,-4.766277,-3.970626,-15.028136,-0.632703,-1.7140975,-2.061493,-3.1923802
72,SDSS-II SN 1562,-1.2428659,-1.6982129,12.603062,-8.423184,-8.019294,-7.270125,1.4273673
73,SDSS-II SN 15988,2.86004,0.3573002,-2.9446301,-10.835401,-8.955537,-15.255863,-0.9269324
74,SDSS-II SN 15992,2.1489167,-3.1168709,4.119605,-1.721729,4.7795973,-8.843222,2.767968
75,SDSS-II SN 16094,6.779936,-1.8989654,-5.1052623,-0.024672322,-1.4761893,-9.900975,-6.3551474
76,SDSS-II SN 1706,-4.207275,-1.1003338,-0.92087454,5.7965493,9.093183,-5.081384,-3.6722162
77,SDSS-II SN 17455,-0.30215546,-2.9637349,-3.0581899,3.677379,-3.9782526,-5.881683,-0.8904219
78,SDSS-II SN 17644,-7.705771,5.041231,-2.410016,9.114645,4.6642747,0.64529425,0.7151073
