,SN,0,1,2,3,4,5,6,7,8
45,SDSS-II SN 4333,-2.5187194,8.142113,-5.1751213,0.95958287,-7.033976,-2.9979014,-6.594703,-2.6742625,-3.231234
46,SDSS-II SN 5723,5.041141,0.86890376,4.3195333,0.54443294,3.9674594,4.5251355,3.0517359,-0.14376393,-1.1179495
47,SDSS-II SN 8018,8.60639,1.880223,1.3376564,4.4642606,7.5106077,5.0241594,3.665209,-1.3609486,2.840231
48,SDSS-II SN 9155,2.5273128,9.484341,-0.8140969,-3.6753485,-2.2394524,6.769706,0.4456,3.4144983,-0.9851652
49,SN2005fq,6.3351617,-5.0669956,-5.062779,2.8220608,3.5586247,1.204615,-7.3642554,-2.5957942,4.806274
50,SN2005hw,-2.6151974,6.8933897,-1.9428532,-1.4429212,4.866464,-3.4764636,-2.0345683,0.30994883,6.1021457
51,SN2005lk,6.376479,-4.072666,2.6365025,4.0183897,-0.04045858,7.9068904,3.2790604,-0.2247275,9.639579
52,SN2006lm,10.764892,4.5486584,-4.1343,-0.3698705,-3.527995,6.095594,-1.9815716,5.373366,-3.8870244
53,SN2006oy,6.9181123,5.554049,-5.4154,4.985706,1.8467392,7.645366,2.22696,-0.4998775,3.0755384
54,SN2006ta,4.1470838,0.33869728,-5.8111863,0.34189138,4.45178,5.6537886,3.687377,-0.26916778,-2.3111186
55,SN2007jc,3.7551749,-0.31403777,6.506578,6.4475,0.267163,2.9918091,0.07669288,4.6795244,2.3420484
56,SN2007jx,8.552516,-7.347539,1.7270685,1.7341605,5.5094714,6.579891,0.37759295,1.1210595,7.0102615
57,SN2007qz,12.480433,-1.3012669,1.9235123,1.1373563,-3.4975667,-2.0188498,-3.1149282,-2.5296938,2.8099797
58,SDSS-II SN 10106,3.2556183,3.2784076,-3.459235,3.0280373,-0.59153587,-1.3040581,-0.87697923,-5.097507,9.235835
59,SDSS-II SN 11094,6.1930976,-2.9968195,0.017246757,2.382335,5.5767937,-2.6877804,-4.477871,3.448744,3.5170708
60,SDSS-II SN 11850,-2.8270154,3.8723104,-7.612113,-4.610123,-0.67324084,4.2816997,-3.2490575,-0.17227958,-6.1197195
61,SDSS-II SN 13955,2.5011144,-3.1271641,-0.007903762,-1.857365,-8.587881,0.28125235,6.1754165,1.5286818,1.0477241
62,SDSS-II SN 14053,-3.4313815,-3.012133,-5.9040537,3.2295604,1.4389354,5.116203,-1.0624748,-1.2511084,-1.0849061
63,SDSS-II SN 14102,0.5853579,0.6416555,-3.4614882,2.895365,-0.8808363,0.96524984,5.8984413,-3.9628453,-0.41705397
64,SDSS-II SN 14228,2.5797486,-3.1521595,-7.773281,0.49113062,4.3131666,0.10232133,4.190636,-3.069111,2.0674453
65,SDSS-II SN 14285,-4.061524,9.853452,2.0615609,2.3477755,1.9606137,-0.17130217,-0.45645264,-1.6804307,-4.771176
66,SDSS-II SN 14322,4.1055083,6.199394,-3.2947953,-0.9345839,-0.12170794,-8.633748,4.183986,2.1102076,1.0489419
67,SDSS-II SN 1456,-6.328416,2.826822,-7.8362904,3.3590958,-1.1136545,2.050069,-2.9430084,2.822182,-7.086817
68,SDSS-II SN 14851,6.2367773,-6.3979893,2.1639402,-0.025911182,-0.43994778,2.3628461,-1.7424436,8.305706,1.7681507
69,SDSS-II SN 1513,5.2929144,2.031133,2.6435978,-4.4393144,-1.4203222,-0.35507455,0.0674784,-0.25889224,5.487985
70,SDSS-II SN 15428,-3.2486877,6.6373663,3.0742264,6.6816564,-1.1255716,1.7741406,-0.28278103,-0.03286956,2.5194166
71,SDSS-II SN 15470,5.295377,-0.4781878,0.6073134,0.95256037,-7.411529,2.2037945,-6.85525,3.996982,-1.1117826
72,SDSS-II SN 1562,0.7786937,5.8065686,-3.6011496,-6.950685,-3.8565745,0.75283164,-1.8264393,-6.3827434,-1.9606433
73,SDSS-II SN 15988,2.3097038,9.323067,-8.775497,-4.4243703,-3.2379787,2.7167246,0.5050827,0.17354298,-4.5034256
74,SDSS-II SN 15992,2.6440086,7.876509,2.4182267,3.7701101,4.7390695,-2.439659,-0.2602346,-2.9503486,-0.7155072
75,SDSS-II SN 16094,-5.6128907,5.012293,-5.526556,4.682073,4.12486,4.0786414,0.7193053,0.47708905,-4.0814323
76,SDSS-II SN 1706,6.424528,-3.0581112,1.8819042,0.384296,3.8258216,4.863857,9.178819,2.9558887,1.5662533
77,SDSS-II SN 17455,6.369833,1.9389822,-10.402642,0.94698685,-0.16398491,5.3162994,-1.3278543,-2.084602,-4.7904153
78,SDSS-II SN 17644,4.155055,-3.0128543,6.0326757,0.6693806,-0.02555693,4.6852126,5.7505884,2.4485044,8.337468
79,SDSS-II SN 17845,10.28892,0.293539,5.9212337,-1.9922348,3.0731547,1.6704531,5.288194,-0.8358307,0.69805366
80,SDSS-II SN 18032,8.234535,0.8790501,0.20549689,1.9846706,6.8957305,0.85734147,-2.5011494,3.6721504,-0.27816457
81,SDSS-II SN 18048,2.081507,3.2388568,1.4387813,0.25106242,3.1228018,2.632297,4.9465866,-3.2250931,-6.0516295
82,SDSS-II SN 18165,4.070756,-3.1505764,-3.9198506,0.21145917,4.362043,-3.0741248,0.13758124,1.0354102,3.4576845
83,SDSS-II SN 18311,2.5287256,0.3878829,-0.74994,0.87936664,6.4296136,0.8711678,-4.4830847,-6.644305,-1.9708654
84,SDSS-II SN 18339,8.136501,2.5268524,-2.4609663,-2.9745314,-3.7691693,-4.381732,1.9262352,-0.6987804,0.47741547
85,SDSS-II SN 18365,2.803371,0.73013985,0.9174456,0.66298616,5.016065,0.2231758,-0.48108023,0.21343789,2.0185003
86,SDSS-II SN 18601,-2.525279,-2.6099203,-4.3637805,-2.821872,-0.84124076,6.5160894,-6.637574,-0.86237216,-4.900507
87,SDSS-II SN 18688,-5.602153,1.8854213,-10.429674,-3.6589298,-4.3420415,1.6521882,-0.7022263,2.7213721,-6.663422
88,SDSS-II SN 19045,4.2440734,0.20348062,0.8628255,1.6498332,3.7390416,4.854067,-6.4928436,1.3843195,1.5099016
89,SDSS-II SN 19175,-0.551789,4.951229,7.774293,-0.057670813,-2.262742,0.56266826,-0.19880363,-0.20948677,7.7683177
90,SDSS-II SN 19181,1.8106968,-0.45640707,1.5683144,5.330522,-3.6468315,-3.1646276,1.3732314,5.10079,0.32887945
91,SDSS-II SN 19336,-6.8518744,7.521779,0.20781395,-2.7636702,-6.9510937,-1.6719159,-1.6641111,1.2312033,3.8851755
92,SDSS-II SN 19731,-4.6393514,2.3978252,-0.3809686,2.4599795,0.19579196,5.771941,0.41784346,-0.061281517,-9.893814
93,SDSS-II SN 20128,3.2376623,3.9287784,-7.172323,-1.2639338,0.37883267,-0.7114194,-1.8159021,-7.655423,-1.2692108
94,SDSS-II SN 20695,0.61269283,-0.39058667,0.1422396,0.8281117,-2.6657076,-1.0611115,11.44946,-0.37988514,0.6532661
95,SDSS-II SN 21065,-5.486538,6.7972813,1.8182528,1.2600423,-3.4394727,2.2425857,-0.49159226,2.2472267,-1.7946926
96,SDSS-II SN 21307,7.0133386,5.6638746,5.042156,0.13925909,6.931336,1.77402,0.6976045,0.21909854,-1.3840041
97,SDSS-II SN 21663,2.7534535,4.438196,-3.3633764,-3.3878691,-5.4915404,1.5255928,0.11041347,-1.3329997,-2.0507922
98,SDSS-II SN 3832,1.6563497,-0.11057949,-6.159159,-4.852749,-0.5947967,3.7075853,2.9073606,1.1920494,-7.7268605
99,SDSS-II SN 4118,4.2188053,-0.6644514,-3.812089,-4.0729623,-3.6858075,-0.8314394,1.2377287,4.2145076,4.828204
100,SDSS-II SN 5323,7.8432503,0.06773874,3.4594514,4.829258,-1.7540332,-3.0299532,6.3818955,-0.94521517,3.3913467
101,SDSS-II SN 5595,4.5183697,-1.1196579,3.8759027,5.0270734,-3.0894117,-1.2870678,3.3811677,1.2413033,7.37221
102,SDSS-II SN 5897,3.1755278,-0.41533002,1.5057695,-0.72988755,0.7413432,4.1157,6.232016,5.845205,-1.546264
103,SDSS-II SN 6225,0.54679865,4.245806,-0.10634708,1.7459463,-1.2113985,-6.2382135,-1.2113062,4.5007596,6.031484
104,SDSS-II SN 6288,5.7969985,0.47062212,-4.6653585,-0.5338676,5.586499,0.79992586,0.7400619,4.995308,2.1808505
105,SDSS-II SN 6638,-0.75301266,-0.6915471,-9.816395,0.12097078,0.076068155,1.2280982,-3.7217398,-2.3548472,-4.811751
106,SDSS-II SN 7374,1.4597499,6.617403,-4.5642323,0.9480647,7.883157,-0.32801485,-4.125819,3.4167778,2.7295926
107,SDSS-II SN 7978,9.344586,0.42376995,-5.3174596,-0.57452565,10.366311,1.4926195,-1.600046,-0.3434348,1.2714835
108,SDSS-II SN 8165,6.4933724,1.3540887,1.3647666,-1.2393099,-4.173027,-4.4020143,-5.887228,3.3867009,0.3583641
109,SDSS-II SN 8457,-0.28594017,6.2487984,3.7961228,-0.45888135,-6.8321605,1.9994621,-1.5883206,0.7410784,-7.3694625
110,SN2005eg,15.787379,0.44309932,3.4165356,1.1133714,-0.54623824,2.9322188,-2.401648,0.48290706,1.6684322
