,SN,0,1
134,SN2006ok,25.7256,28.403946
135,SN2006oo,10.034026,-2.0297987
136,SN2007ih,26.555756,26.734798
137,SN2007mr,39.14235,18.258717
138,SN2007mt,19.181967,-48.65599
139,SN2007nk,25.701124,0.78387517
140,SN2007nl,48.517857,19.701698
141,SN2007pa,30.654373,-4.6354313
142,SN2007qn,4.761516,-21.31962
143,SDSS-II SN 13383,32.8159,-33.3076
144,SDSS-II SN 14268,28.715254,-16.074766
145,SDSS-II SN 14792,10.173698,-8.751703
146,SDSS-II SN 15697,16.102812,-43.704166
147,SDSS-II SN 16467,28.937727,26.399012
148,SDSS-II SN 16468,22.713707,-43.011868
149,SDSS-II SN 17814,42.501133,31.327215
150,SDSS-II SN 17967,7.012564,-25.235535
151,SDSS-II SN 19032,20.238482,-43.88996
152,SDSS-II SN 19347,23.362152,15.076485
153,SDSS-II SN 20278,4.4140882,-39.43705
154,SDSS-II SN 7882,10.806294,15.348846
155,SN2005hp,30.150702,-20.558983
156,SN2006fk,23.935434,13.346624
157,SN2006gw,12.820444,-16.583717
158,SN2006la,30.911928,13.200605
159,SN2006pk,8.568452,13.437089
160,SN2007ik,23.546967,-21.580053
161,SN2007iz,6.352068,14.054441
162,SN2007jn,30.670261,-18.844877
163,SDSS-II SN 10991,9.15832,-31.001896
164,SDSS-II SN 13633,10.52068,-30.273342
165,SDSS-II SN 14413,-10.43976,-31.657444
166,SDSS-II SN 14475,21.840748,13.550461
167,SDSS-II SN 14531,10.525476,-42.653793
168,SDSS-II SN 15184,-12.409425,-31.162924
169,SDSS-II SN 17851,22.219133,-45.239006
170,SDSS-II SN 20045,20.820433,-46.141396
171,SDSS-II SN 6333,45.91858,-0.14159796
172,SDSS-II SN 6696,27.309961,-25.134827
173,SN2005ey,28.225603,-7.5951004
174,SN2005ff,26.850039,-15.448287
175,SN2005fi,30.473583,-19.84245
176,SN2005fu,18.636185,-4.188257
177,SN2005fz,30.910284,4.36839
178,SN2005ge,29.465359,-22.358963
179,SN2005hu,33.466133,30.342798
180,SN2005ia,12.193315,15.499176
181,SN2005ic,29.621075,-23.69455
182,SN2005ie,23.959503,11.1310005
183,SN2005ih,39.271706,10.730998
184,SN2005jh,28.667,-8.151686
185,SN2005jk,6.4513726,15.954542
186,SN2005jo,8.097552,13.938574
187,SN2005jt,24.88951,-41.03563
188,SN2005mh,22.516977,13.567253
189,SN2006fo,21.553493,6.0669336
190,SN2006gm,33.066174,14.460751
191,SN2006hc,9.903631,13.62553
192,SN2006jo,27.96472,-24.024878
193,SN2006jx,8.380168,11.770936
194,SN2006no,9.691832,10.482469
195,SN2007ky,19.56534,13.869222
196,SN2007ny,16.452175,-32.78751
197,SDSS-II SN 10997,20.885162,-11.485799
198,SDSS-II SN 11120,29.907074,-7.8957634
199,SDSS-II SN 11532,24.714865,-5.868521
200,SDSS-II SN 12213,11.291527,-38.772125
201,SDSS-II SN 1257,12.848845,-32.157993
202,SDSS-II SN 12879,21.409554,-30.490986
203,SDSS-II SN 12936,35.793823,18.627748
204,SDSS-II SN 12939,28.864887,11.026034
205,SDSS-II SN 12964,32.076633,-32.946125
206,SDSS-II SN 13051,25.965351,14.99418
207,SDSS-II SN 13062,23.289328,-32.377888
208,SDSS-II SN 13076,48.296635,15.078756
209,SDSS-II SN 13096,43.78926,20.803194
210,SDSS-II SN 13168,-14.611639,-30.482887
211,SDSS-II SN 13283,43.331367,6.4491253
212,SDSS-II SN 13291,46.381676,24.435667
213,SDSS-II SN 13330,23.867239,-36.4724
214,SDSS-II SN 13344,33.485046,23.902796
215,SDSS-II SN 13395,41.1138,30.09515
216,SDSS-II SN 13404,-11.442001,-29.887962
217,SDSS-II SN 1342,12.391238,-48.491604
