,SN,0,1,2,3,4,5
64,SDSS-II SN 14228,1.5581204,-1.7777781,-4.133909,-12.744913,-6.0453115,-11.387615
65,SDSS-II SN 14285,-7.641283,10.521886,14.711233,7.9455924,-5.3192105,-3.6309066
66,SDSS-II SN 14322,2.9122772,12.428948,-3.530613,14.102197,-6.377953,2.4246874
67,SDSS-II SN 1456,-4.861498,2.0338895,16.681267,-7.169926,-0.104005106,-5.675133
68,SDSS-II SN 14851,-6.905952,-25.025452,0.9335054,0.24181445,0.90354216,-2.28287
69,SDSS-II SN 1513,-1.6331627,3.6468203,-14.176228,-4.10416,-8.159324,-6.180791
70,SDSS-II SN 15428,-7.5880733,7.9454236,-0.68048054,15.158919,-0.64438266,-6.2578306
71,SDSS-II SN 15470,-10.643935,-8.9932,4.8611264,-12.308156,1.4510921,4.2959495
72,SDSS-II SN 1562,-6.254969,-4.1847005,11.566052,-2.1601944,1.1836421,-12.239027
73,SDSS-II SN 15988,-8.754945,10.804951,8.376762,-12.119145,4.23946,-12.999575
74,SDSS-II SN 15992,-2.0351937,9.551125,-4.6375375,9.890899,0.8063564,-0.8384433
75,SDSS-II SN 16094,-3.6904025,7.147926,12.943575,-6.3747015,-9.166781,-3.2806659
76,SDSS-II SN 1706,-10.342179,-13.370553,-0.6837501,-1.3393146,0.108257055,3.2733424
77,SDSS-II SN 17455,-9.806416,9.59372,-8.678297,-2.9883242,10.895279,1.0481477
78,SDSS-II SN 17644,-6.955886,-12.341936,-3.0321772,1.7779711,-8.0199995,-2.3538132
79,SDSS-II SN 17845,-0.22046569,-5.8539267,-14.629258,-5.125062,-5.5652857,-2.6259496
80,SDSS-II SN 18032,-7.72894,-0.83473986,-10.220146,-14.162404,-6.2195253,-1.3355867
81,SDSS-II SN 18048,-0.39283532,-5.675569,-7.3856997,4.9391427,1.2306092,-14.211401
82,SDSS-II SN 18165,-10.716635,-6.141984,-5.1833687,-11.312319,-2.2561767,3.337865
83,SDSS-II SN 18311,1.6445632,11.040489,-13.184889,-6.5908403,1.8924862,2.8928618
84,SDSS-II SN 18339,-12.913042,1.1147757,-16.329414,4.5323315,4.2242475,1.8905622
85,SDSS-II SN 18365,-4.837734,-3.1755848,-4.894222,-10.644799,-0.5812057,-2.3161645
86,SDSS-II SN 18601,6.72922,2.2840178,4.4229503,-13.2962675,8.34748,-8.481121
87,SDSS-II SN 18688,-6.54263,2.1318414,13.736398,-9.5034685,9.287693,-10.05749
88,SDSS-II SN 19045,-7.2737403,2.0191596,-2.5601182,-9.704076,-1.1327114,5.8031144
89,SDSS-II SN 19175,-5.7293406,-5.160868,5.122945,1.8015203,-15.434403,-5.1635
90,SDSS-II SN 19181,2.4033628,-4.468027,-3.0412056,0.5747015,5.432967,-6.85118
91,SDSS-II SN 19336,-8.091221,8.441801,8.994038,12.966809,2.8032665,-1.759615
92,SDSS-II SN 19731,-8.107542,1.672379,3.9357092,-6.4239054,20.114017,1.4862032
93,SDSS-II SN 20128,4.4755397,12.702108,-0.62676436,-9.20273,-2.2414982,-10.762245
94,SDSS-II SN 20695,-4.2434196,-14.714296,9.148613,-3.2208943,5.983854,-9.617917
95,SDSS-II SN 21065,-3.1087081,4.9095955,7.6963243,9.415659,-0.32618925,-7.8773007
96,SDSS-II SN 21307,4.0159497,-10.165962,-4.8432174,-9.037192,-5.042337,-7.210946
97,SDSS-II SN 21663,-6.91584,-1.0888923,6.1259212,1.4081366,5.2894454,-10.591267
98,SDSS-II SN 3832,5.7950163,11.605881,-4.6849694,-10.792903,10.982542,-2.658941
99,SDSS-II SN 4118,-4.5510263,0.8132199,-13.269696,6.591857,5.681311,6.315091
100,SDSS-II SN 5323,-4.760112,-10.048718,-12.63942,-1.4073979,5.7982645,-0.5564069
101,SDSS-II SN 5595,-6.517004,-10.048856,-7.158983,-6.3529677,6.47365,1.5388069
102,SDSS-II SN 5897,-8.184978,-11.018808,2.5511725,1.0845416,3.4283834,-3.3331978
103,SDSS-II SN 6225,-15.906132,-0.2846852,3.5800104,15.299771,-2.2808926,-0.95444536
104,SDSS-II SN 6288,-8.238835,-4.7840743,-8.126067,-4.52018,-3.9921176,6.3452034
105,SDSS-II SN 6638,-6.14128,3.9102473,7.8900537,-12.56031,2.2857316,-6.479666
106,SDSS-II SN 7374,-13.5887,7.043828,4.328086,8.369715,9.236132,1.2343888
107,SDSS-II SN 7978,-6.9885426,-4.1913886,-9.937577,-18.554766,1.6482533,-0.6851103
108,SDSS-II SN 8165,-8.727406,-2.0623229,-13.981388,-1.3188308,10.135472,6.8368697
109,SDSS-II SN 8457,1.1622221,2.2307608,3.5909693,-1.6718054,-2.4022336,-17.077293
110,SN2005eg,-10.238019,0.83888334,-18.503757,-1.68966,-14.180817,-4.521187
111,SN2005fe,-9.621255,6.6251802,-9.048516,-4.396089,-10.796508,-7.3788657
112,SN2005ft,-16.262247,0.5339658,-20.502779,-8.921856,-4.688159,-2.3688972
113,SN2005fv,-12.622524,-5.814663,-6.928554,-4.8056307,-18.55548,-3.6721568
114,SN2005fx,-0.23178463,9.691102,-6.173673,-4.549348,-8.470214,-9.848806
115,SN2005gc,-5.4529543,-11.924392,-19.44521,-3.8397958,-8.481531,-8.091502
116,SN2005gs,-13.025909,1.3835257,7.023995,-2.8666728,-12.4756365,-10.269693
117,SN2005gt,-3.682139,2.6875281,-8.285263,-9.96212,-2.631879,-18.562536
118,SN2005gu,-1.8877532,15.175674,-2.6073942,2.0570607,-7.2167935,2.4364834
119,SN2005hc,-6.1231976,-20.135866,-9.046498,3.0318182,-1.4297818,8.997125
120,SN2005ho,-4.795804,-20.610535,-11.985706,-6.948976,-3.5027008,2.699366
121,SN2005hx,-4.756755,-14.243858,-5.277894,-4.225926,-14.878812,1.7222476
122,SN2005id,-10.097605,-14.938655,-16.433533,1.0520409,-7.296572,0.45758745
123,SN2005ik,-8.035369,-5.5750575,1.5076958,-7.4432425,-11.823738,-8.859094
124,SN2005jb,-6.3296824,7.7661953,1.4609475,7.9092455,-2.078992,-1.7472589
125,SN2005jf,-10.906279,-0.8159304,-0.77446944,3.6572554,16.746746,-1.3654492
126,SN2005jl,-1.2802526,-14.392465,-15.376685,-4.7771797,-12.432961,-4.66062
127,SN2005jy,-4.2667627,9.338914,-0.32283688,-2.3164308,-12.294715,-8.559792
128,SN2005jz,-3.5392082,8.460259,-0.06753566,-9.12819,-15.692834,-5.7587748
129,SN2005kn,-12.951942,14.279617,-5.4715986,-4.2863655,-6.2781687,0.57145196
130,SN2005li,-6.7958083,9.370698,-6.0960426,-10.07938,-6.050034,-7.9549394
131,SN2006fg,-5.597665,9.138799,-13.440547,8.802553,6.016813,-4.0382314
132,SN2006fx,-15.801539,5.163338,-0.35716128,0.34926975,7.8260345,-0.92848843
133,SN2006nu,-13.417321,0.720398,-5.705095,-8.845064,-15.43075,-2.9734645
134,SN2006ok,-10.282967,-7.4412904,-4.337113,1.4991237,-16.153612,4.646419
135,SN2006oo,1.475543,1.8187343,-0.7275049,-16.75205,9.175124,-3.4144444
136,SN2007ih,-2.7232966,7.4538336,-20.806917,0.6543107,0.6698359,5.2560954
137,SN2007mr,-12.19898,1.2957644,13.951448,-2.254253,5.9195,-3.5478373
138,SN2007mt,-5.91632,-0.06927134,12.528095,6.4658422,0.5128391,-11.732261
139,SN2007nk,-13.811599,-7.332952,2.6671994,-4.19557,-14.608903,0.33380398
140,SN2007nl,-1.5865722,0.8666958,-18.751722,-5.452989,-6.41211,6.8515306
141,SN2007pa,-12.967276,-5.2394347,-2.7122622,5.7229195,-14.146946,-10.117998
142,SN2007qn,-9.253482,5.572839,3.2678967,8.215787,2.9120274,-10.868549
143,SDSS-II SN 13383,-10.881488,7.5398793,-11.039823,7.190076,-9.246206,-4.098807
144,SDSS-II SN 14268,-14.992039,4.5392957,-8.634465,2.1106198,-2.5321677,2.2099183
145,SDSS-II SN 14792,-6.91696,12.43076,12.244757,-9.647161,13.482621,-8.265952
146,SDSS-II SN 15697,-3.716661,15.629181,12.178806,10.817927,3.8774297,-11.241985
147,SDSS-II SN 16467,-6.720841,17.644772,-8.300528,0.6955829,-6.5545893,-8.061696
148,SDSS-II SN 16468,-4.661721,17.937037,9.749309,-4.859498,-0.60904187,-1.8152217
149,SDSS-II SN 17814,-4.9725127,-6.33665,-10.010465,9.93369,11.259222,-0.44547668
150,SDSS-II SN 17967,-10.559335,-4.7689095,-7.457312,-2.3845172,8.370469,-12.166568
151,SDSS-II SN 19032,-11.678571,17.368391,14.2476,8.75668,4.0923524,-4.8580623
152,SDSS-II SN 19347,-20.105698,0.54010475,-2.6621158,3.440915,-6.9613695,-12.744683
153,SDSS-II SN 20278,-14.864998,6.0687714,8.109294,0.08012128,-6.99413,0.84843355
154,SDSS-II SN 7882,-3.510215,11.062625,-8.258393,-18.683113,-2.827123,-2.116025
155,SN2005hp,-18.412846,-9.809003,0.50224036,-1.8955326,-0.85053,-12.361271
156,SN2006fk,-5.6215396,-1.0017046,-12.8004465,-13.593044,8.475296,-10.526315
157,SN2006gw,-12.958897,5.053793,-4.3144803,0.12615451,10.153163,9.11195
158,SN2006la,-18.644451,-7.8548017,-14.216225,-4.660517,-6.236022,-2.9686258
159,SN2006pk,-9.115663,-5.093882,-18.57639,9.568386,-2.3967896,-2.109997
160,SN2007ik,-17.776768,-4.4335938,-14.366404,0.07725822,-3.9630835,8.429158
161,SN2007iz,-9.215612,7.5740304,-3.2830327,-0.2317811,16.331348,-9.113617
162,SN2007jn,-5.691023,9.801149,4.0073404,-8.67105,2.2599368,-0.34961236
163,SDSS-II SN 10991,-10.119704,13.245476,12.222995,-9.712188,10.7883415,0.015326242
164,SDSS-II SN 13633,-17.884535,2.5692875,5.0698857,4.9978156,-7.427971,-5.509743
165,SDSS-II SN 14413,-8.155572,-11.757436,-0.89223003,-16.137735,-3.0002427,-6.49681
166,SDSS-II SN 14475,-9.896973,19.1268,9.618533,2.476192,9.090909,2.1594408
167,SDSS-II SN 14531,-19.856115,1.9518006,5.8302193,1.6522008,0.8315417,2.586492
168,SDSS-II SN 15184,-3.0622978,-6.0674105,4.1707516,-2.9660218,-3.3473887,-5.4790845
169,SDSS-II SN 17851,-11.240607,14.489278,6.0725436,8.223201,6.6674266,-9.317955
170,SDSS-II SN 20045,-2.7681096,13.170166,11.901596,0.831112,7.4247646,-7.357975
171,SDSS-II SN 6333,0.1432435,8.818262,5.6051207,-5.89372,12.8623295,-17.370174
172,SDSS-II SN 6696,-19.399765,11.890609,2.3002748,-1.4038125,4.4309955,-10.756335
173,SN2005ey,-13.432788,-15.538946,-7.3417826,-5.0321803,-7.2354584,3.954666
174,SN2005ff,-17.829723,-9.993364,-8.447137,2.6661043,-9.323849,0.025962077
175,SN2005fi,-22.87451,-1.3914757,-2.0028634,-10.957938,-1.7737908,0.3503075
176,SN2005fu,-8.000562,-7.621196,-14.681791,5.030719,3.8545473,-9.048563
177,SN2005fz,-3.294815,6.3860393,-7.6881437,4.11926,-6.7172475,-14.762715
178,SN2005ge,-11.262597,7.4715295,-2.1730182,-0.40321344,-17.8757,-0.7274033
179,SN2005hu,-18.978916,6.1646104,-4.808342,-0.41904363,-4.023242,-16.893965
180,SN2005ia,-17.32496,-3.7830703,-18.302786,1.1817592,1.2107041,-4.9558015
181,SN2005ic,-8.855057,11.519973,2.2414763,-4.41814,-10.665889,3.555003
182,SN2005ie,-3.515209,6.8127837,-2.3299985,6.9380126,-18.244595,-2.9177763
183,SN2005ih,-4.3345723,17.54457,-12.954043,-1.1750705,2.4342785,-1.2844799
184,SN2005jh,-2.0144389,-13.615281,-12.6664095,7.255394,-13.71734,-5.3638825
185,SN2005jk,-20.397573,-1.8284018,-1.7017562,4.29357,-10.811627,0.041496564
186,SN2005jo,-14.877445,2.718041,-0.501839,0.5280283,-10.874679,3.5058649
187,SN2005jt,-4.4535313,20.819672,4.5243964,7.7831054,2.9394603,3.1418264
188,SN2005mh,-11.57235,4.6046543,-5.715044,5.8596654,0.9320039,-14.882199
189,SN2006fo,-12.532972,15.495408,3.5396078,-0.5510481,10.902625,-3.1927702
190,SN2006gm,-7.061336,4.3921423,-3.882485,12.728001,-13.227049,-3.116576
191,SN2006hc,-20.531416,-1.4709753,-4.5681133,-2.2207582,-4.6903596,8.243557
192,SN2006jo,-12.816247,10.186143,0.8093652,-4.1896267,0.73015255,5.3410187
193,SN2006jx,-11.520633,8.711243,11.546222,-0.5567796,-0.43794957,10.836867
