,SN,0,1,2,3,4,5,6,7
49,SN2005fq,-3.5796494,-10.43135,8.236413,-5.584643,-0.11778097,1.2144645,-0.29046744,-0.6074657
50,SN2005hw,8.279866,-3.6390808,-8.683342,-1.1163298,-6.5970583,-0.24507363,0.5864412,1.4006479
51,SN2005lk,-7.9125867,-0.83428556,-0.36100885,-3.667854,2.6206305,-13.185886,3.4136186,2.3916156
52,SN2006lm,-1.0891815,-1.5278387,0.6444665,-7.4181104,-12.123965,-6.604632,9.951624,0.24090466
53,SN2006oy,-7.2490416,-2.63562,-0.57733727,-9.237623,-9.711906,0.9808141,-1.6638591,-1.8210948
54,SN2006ta,-5.8372965,-8.010625,-6.3073416,0.32380447,-5.328435,-1.7737455,-3.2543747,2.2250373
55,SN2007jc,-13.960172,-2.0369394,-3.554595,0.17784001,0.32261947,-3.886251,0.87342775,0.40680996
56,SN2007jx,-10.741729,-6.96254,-5.1238894,-5.336179,6.6735053,-6.6176085,-1.0472999,-2.444482
57,SN2007qz,0.63498425,-5.3795977,1.1931729,-11.60718,2.564037,-4.0097985,4.398941,4.5131536
58,SDSS-II SN 10106,-5.206009,6.6964207,-5.727597,-2.2224753,-7.6749,-2.3409777,-0.63737446,-0.13691002
59,SDSS-II SN 11094,-6.9724984,-2.4154131,4.5595894,-7.774661,2.7747426,4.441882,2.111138,-1.2225192
60,SDSS-II SN 11850,-0.37108895,-2.0303242,-1.3278017,-1.9541527,-6.473962,12.238803,2.041002,-1.6443065
61,SDSS-II SN 13955,3.4222004,-0.57067937,-10.144762,-3.1462262,2.9320705,-6.735904,2.349688,0.78262377
62,SDSS-II SN 14053,0.5825677,-2.3598454,-0.09268568,-5.0124364,-3.873595,8.472399,-4.718569,0.7005501
63,SDSS-II SN 14102,-2.7499628,1.3963907,-4.9734793,-3.0306664,-4.6040893,5.371893,-1.6586938,-4.0771403
64,SDSS-II SN 14228,-7.198706,1.6999102,-0.24804236,-1.6589512,-0.07317846,-1.7867644,-8.380861,-6.761654
65,SDSS-II SN 14285,1.5240833,8.828214,-3.4326408,1.3949429,-8.740119,2.8902795,-1.1388056,-4.181248
66,SDSS-II SN 14322,-1.0613985,4.858859,3.6231802,0.78150964,-7.9590473,-0.19947521,-5.7831993,4.7278914
67,SDSS-II SN 1456,3.404974,-6.528096,-0.27393055,5.937534,-5.1677165,9.838108,-1.9250295,-3.9284656
68,SDSS-II SN 14851,-10.13087,-0.05703652,-9.342972,2.4702837,4.057404,-5.9645734,-0.0021113087,-6.9793835
69,SDSS-II SN 1513,-6.2746058,5.120778,1.7689894,-3.1153152,-1.9067123,-2.784763,5.7980323,-4.5808935
70,SDSS-II SN 15428,8.460513,0.7487402,-5.4123063,1.4551176,-9.177816,-0.6700133,1.1995559,-5.1472907
71,SDSS-II SN 15470,-4.2826643,-4.2810216,-2.2479935,-1.8114612,-0.08953294,4.9724646,9.572672,-2.3357906
72,SDSS-II SN 1562,4.6591287,0.53711206,9.777481,-0.6029152,-7.068544,-3.1029947,-1.8627902,-1.2371817
73,SDSS-II SN 15988,3.5524597,-3.3975315,6.5173187,-0.76487005,-13.644246,6.7472043,2.2166808,-2.3176267
