,SN,0,1,2,3,4
73,SDSS-II SN 15988,-15.155685,14.950011,-1.6863518,-15.096232,-15.930096
74,SDSS-II SN 15992,-6.1498685,-6.4121165,-4.2001953,4.10281,-11.934811
75,SDSS-II SN 16094,-14.462176,-0.2575961,0.8791808,-3.3162677,-9.272026
76,SDSS-II SN 1706,2.4864287,4.3681097,7.2871666,18.763973,-4.4352946
77,SDSS-II SN 17455,3.0659568,16.61939,1.3546768,-13.342819,-11.763926
78,SDSS-II SN 17644,14.0929,-3.5380416,4.9758997,12.995245,-8.588467
79,SDSS-II SN 17845,16.231098,4.13582,16.762058,3.6542552,-5.9074974
80,SDSS-II SN 18032,3.4558113,-1.9158844,19.084074,-9.459284,-11.903621
81,SDSS-II SN 18048,9.741105,7.8199024,0.8929424,-5.613401,1.7051835
82,SDSS-II SN 18165,-1.4348302,4.315266,19.30495,-1.3163239,-10.887861
83,SDSS-II SN 18311,-1.7385641,17.630302,8.06184,5.0589747,-2.3137352
84,SDSS-II SN 18339,4.4135118,1.9552474,9.895249,-18.327873,-10.969873
85,SDSS-II SN 18365,2.7426357,9.306234,18.173178,4.2556825,-7.6128154
86,SDSS-II SN 18601,-4.7696214,22.488161,-1.6349164,-10.629124,3.332686
87,SDSS-II SN 18688,-23.76844,15.052901,3.4866989,-8.003046,-4.4665856
88,SDSS-II SN 19045,1.9950906,10.178495,16.487474,-7.249765,-8.366659
89,SDSS-II SN 19175,-13.980624,-2.6976144,17.07433,1.6606935,-3.6379845
90,SDSS-II SN 19181,1.4297316,1.6945714,0.6344594,8.040972,1.1339583
91,SDSS-II SN 19336,-11.722469,-2.9422932,-23.053812,-1.7920892,-11.81093
92,SDSS-II SN 19731,9.115454,8.335125,-23.087683,-8.032335,-7.756123
93,SDSS-II SN 20128,-2.0568235,23.706144,-10.379437,-13.195886,-6.233802
94,SDSS-II SN 20695,8.743394,-9.02516,-9.984521,12.260611,-5.8179364
95,SDSS-II SN 21065,-6.4521403,3.281378,-18.21323,0.70732456,-9.888558
96,SDSS-II SN 21307,11.984212,17.963396,14.741017,6.957883,-1.3656551
97,SDSS-II SN 21663,-7.119244,12.721055,-8.655383,5.0392995,-14.669957
98,SDSS-II SN 3832,-7.04378,15.966714,8.1310005,-11.014706,5.5871015
99,SDSS-II SN 4118,-12.08102,1.2070885,14.683019,-10.3738165,-14.298391
100,SDSS-II SN 5323,13.752068,-6.2090664,14.115457,7.003747,-8.041418
101,SDSS-II SN 5595,7.5749044,-5.316715,11.355059,8.208639,-12.654324
102,SDSS-II SN 5897,0.05758417,1.4937595,-0.8280619,14.065606,-7.6588483
103,SDSS-II SN 6225,-7.8341084,-14.973676,-8.714509,11.249408,-12.559823
104,SDSS-II SN 6288,0.68031305,-2.981225,12.272891,-3.1179676,-10.668392
105,SDSS-II SN 6638,-10.950378,19.88455,-0.18350339,-16.006432,-6.576923
106,SDSS-II SN 7374,-2.8157616,0.39646372,-9.347081,0.45667905,-9.836286
107,SDSS-II SN 7978,2.5393567,-11.737464,21.766838,-6.7535133,-11.254612
108,SDSS-II SN 8165,9.993435,22.89534,12.991362,-13.071914,-3.382911
109,SDSS-II SN 8457,-17.12184,10.788994,-11.735222,5.8857427,-7.9024734
110,SN2005eg,21.499023,-9.973832,11.578293,-6.0073624,-17.930506
111,SN2005fe,10.385923,-4.492052,-0.83514875,-7.680236,-18.31387
112,SN2005ft,17.702936,4.133473,19.773518,-12.720304,-18.614687
113,SN2005fv,16.162365,-2.2855039,9.883125,9.204963,-27.414604
