0,1,2
PS1-12bku,34.18199920654297,-56.794883728027344
SDSS-II SN 10054,-14.130488395690918,20.05988121032715
SDSS-II SN 10113,-36.6715202331543,17.262540817260742
SDSS-II SN 10161,37.28146743774414,-45.75690460205078
SDSS-II SN 1024,42.19026565551758,-57.62712860107422
SDSS-II SN 10299,-25.549352645874023,18.863990783691406
SDSS-II SN 10324,-47.211429595947266,44.814849853515625
SDSS-II SN 10450,-35.85669708251953,13.2513427734375
SDSS-II SN 1048,44.67660140991211,-51.14670181274414
SDSS-II SN 10506,-38.46811294555664,11.750784873962402
SDSS-II SN 10559,-45.78721237182617,18.33816146850586
SDSS-II SN 10620,-12.529561042785645,-10.472708702087402
SDSS-II SN 10976,-14.662464141845703,37.16139602661133
SDSS-II SN 10991,-64.22125244140625,32.712669372558594
SDSS-II SN 10997,-25.096899032592773,33.06167984008789
SDSS-II SN 1109,30.521974563598633,-47.54550552368164
SDSS-II SN 11094,18.73709487915039,-10.528655052185059
SDSS-II SN 11120,-13.682717323303223,35.57550811767578
SDSS-II SN 1113,56.95315170288086,-30.822139739990234
SDSS-II SN 1115,30.23594093322754,-48.98108673095703
SDSS-II SN 11156,-26.349441528320312,36.237144470214844
SDSS-II SN 11181,-45.565521240234375,30.468612670898438
SDSS-II SN 11204,-15.156261444091797,26.40445899963379
SDSS-II SN 11305,-57.17108154296875,45.41773223876953
SDSS-II SN 1131,34.80522918701172,-46.58891296386719
SDSS-II SN 11314,-52.5091552734375,51.79201889038086
SDSS-II SN 11316,-14.627779960632324,17.557575225830078
SDSS-II SN 11492,-35.01093673706055,41.97272491455078
SDSS-II SN 1164,55.734031677246094,-37.21590805053711
SDSS-II SN 1166,-48.50063705444336,2.0763776302337646
SDSS-II SN 11723,-48.67900848388672,56.31837463378906
SDSS-II SN 11850,36.33601379394531,-44.253700256347656
SDSS-II SN 1199,45.06529235839844,-41.694190979003906
SDSS-II SN 12213,-42.70540237426758,12.537827491760254
SDSS-II SN 12804,7.690404415130615,16.692691802978516
SDSS-II SN 12852,-41.180023193359375,0.9956579804420471
SDSS-II SN 12868,44.5941276550293,-68.09430694580078
SDSS-II SN 12875,-29.215919494628906,-16.179603576660156
SDSS-II SN 12879,-47.89006805419922,3.724923610687256
SDSS-II SN 12895,25.217641830444336,-15.966155052185059
SDSS-II SN 12924,-28.145376205444336,2.2406036853790283
SDSS-II SN 12929,44.22127151489258,-60.9864501953125
SDSS-II SN 12939,56.86781692504883,10.54818058013916
SDSS-II SN 12941,5.471767425537109,-38.73284912109375
SDSS-II SN 12942,34.95586013793945,-63.62487030029297
SDSS-II SN 12964,57.69670867919922,10.00494384765625
SDSS-II SN 12978,16.190370559692383,9.843402862548828
SDSS-II SN 13009,53.955780029296875,-26.486351013183594
SDSS-II SN 13016,-10.01359748840332,5.162075519561768
SDSS-II SN 1302,56.62635803222656,11.716703414916992
SDSS-II SN 13027,-66.57015228271484,14.519763946533203
SDSS-II SN 13051,58.69325637817383,12.045629501342773
SDSS-II SN 13058,28.66682243347168,-58.82118606567383
SDSS-II SN 13062,46.21674346923828,-40.37420654296875
SDSS-II SN 13076,29.25115394592285,-57.552879333496094
SDSS-II SN 13096,-46.78863525390625,8.606036186218262
SDSS-II SN 13106,34.63205337524414,-41.40857696533203
SDSS-II SN 13112,53.87233352661133,-60.118988037109375
SDSS-II SN 13147,-48.35631561279297,5.33209753036499
SDSS-II SN 13148,-36.39183807373047,51.62263870239258
SDSS-II SN 13158,40.30790710449219,-33.9599494934082
SDSS-II SN 13168,2.605067253112793,-29.61699676513672
SDSS-II SN 13269,45.12266540527344,-35.65039825439453
