0,1,2,3,4
PS1-12bku (g'r'i'),-5.084021,5.24672,3.1742332,4.7295055
SDSS-II SN 10054 (g'r'i'),1.4348947,0.08324276,-2.6954346,-5.483937
SDSS-II SN 10113 (g'r'i'),2.8956575,-1.4328488,-3.1501312,-0.3843571
SDSS-II SN 10161 (g'r'i'),-2.9208612,4.994655,2.0650113,5.3289247
SDSS-II SN 1024 (g'r'i'),-5.725729,4.671602,1.7870344,6.2989492
SDSS-II SN 10299 (g'r'i'),2.8900065,-0.6729154,-1.2521774,-2.0796332
SDSS-II SN 10324 (g'r'i'),5.328261,-4.6116757,-0.21211568,-2.2033691
SDSS-II SN 10450 (g'r'i'),2.7900453,-0.3442505,-2.190065,0.1830606
SDSS-II SN 1048 (g'r'i'),-2.9916885,5.2775593,1.2763954,7.526231
SDSS-II SN 10506 (g'r'i'),3.555841,0.3387273,-2.3683176,0.15298969
SDSS-II SN 10559 (g'r'i'),5.03457,-1.5368294,-2.79588,0.3817022
SDSS-II SN 10620 (g'r'i'),2.6049943,1.845165,-2.389529,-1.800183
SDSS-II SN 10976 (g'r'i'),1.034808,-4.323872,0.19520073,-0.83272505
SDSS-II SN 10991 (g'r'i'),6.0156746,-3.152741,1.9115133,-1.5918863
SDSS-II SN 10997 (g'r'i'),2.5998592,-2.6277387,-2.3681467,-0.7568367
SDSS-II SN 1109 (g'r'i'),-3.8844397,3.9511425,3.0538058,4.1801314
SDSS-II SN 11094 (g'r'i'),-4.8486247,3.5113616,-2.0917237,0.24425371
SDSS-II SN 11120 (g'r'i'),0.67563826,-3.9804964,-0.15944977,-0.4958075
SDSS-II SN 1113 (g'r'i'),-3.99545,1.3602738,1.4797299,5.321293
SDSS-II SN 1115 (g'r'i'),-3.3861377,4.942014,3.2240736,3.7976062
SDSS-II SN 11156 (g'r'i'),2.2699547,-3.754948,-2.4873888,-0.7488827
SDSS-II SN 11181 (g'r'i'),6.394306,-2.7893417,-2.6978498,-1.6280382
SDSS-II SN 11204 (g'r'i'),0.67045105,-3.4193933,-1.9652597,1.8842663
SDSS-II SN 11305 (g'r'i'),7.5670924,-4.9677615,0.86480856,-3.3858447
SDSS-II SN 1131 (g'r'i'),-3.5580454,4.0681,2.469876,4.8437805
SDSS-II SN 11314 (g'r'i'),6.063183,-6.1325064,1.1715465,-3.753412
SDSS-II SN 11316 (g'r'i'),1.4765182,1.2529345,-2.4070866,-5.5604033
SDSS-II SN 11492 (g'r'i'),3.819123,-4.8596435,-1.1002591,-0.48921704
SDSS-II SN 1164 (g'r'i'),-4.810864,2.2490873,1.5736971,5.6778536
SDSS-II SN 1166 (g'r'i'),4.130746,0.8415463,-0.7809187,2.7242563
SDSS-II SN 11723 (g'r'i'),5.670679,-7.139196,1.1703199,-3.8253746
SDSS-II SN 11850 (g'r'i'),-2.724427,4.468042,2.1730068,5.087598
SDSS-II SN 1199 (g'r'i'),-2.247254,4.72761,0.28550673,6.7385306
SDSS-II SN 12213 (g'r'i'),4.968237,0.8732005,-1.8535879,0.32792467
SDSS-II SN 12804 (g'r'i'),-3.0588531,-2.574186,-2.05229,0.28003553
SDSS-II SN 12852 (g'r'i'),2.7195363,1.6762389,-0.57640046,0.6041837
SDSS-II SN 12868 (g'r'i'),-7.02663,6.792608,0.76974404,7.5369096
SDSS-II SN 12875 (g'r'i'),5.48525,0.608059,1.1159022,-2.408507
SDSS-II SN 12879 (g'r'i'),5.108017,0.81445116,0.39432722,1.2357349
SDSS-II SN 12895 (g'r'i'),-5.8580384,2.3030486,0.70196563,-1.8898302
SDSS-II SN 12924 (g'r'i'),1.939978,-1.1673424,-3.560889,3.221938
SDSS-II SN 12929 (g'r'i'),-5.6324286,5.935707,1.5821255,6.4197154
SDSS-II SN 12939 (g'r'i'),-0.95731395,-2.944309,1.7409495,4.2301455
SDSS-II SN 12941 (g'r'i'),-2.4341938,5.0191464,4.7434745,-0.89446485
SDSS-II SN 12942 (g'r'i'),-6.5149984,6.292441,2.8522413,5.072293
SDSS-II SN 12964 (g'r'i'),-0.735194,-3.2713637,1.7335792,4.491084
SDSS-II SN 12978 (g'r'i'),-4.2812076,-0.49823898,0.063896894,-1.3888376
SDSS-II SN 13009 (g'r'i'),-3.3028114,-0.37719205,0.35276723,4.043901
SDSS-II SN 13016 (g'r'i'),0.022484327,-0.41657305,-2.9968014,1.4056976
SDSS-II SN 1302 (g'r'i'),-1.2585057,-3.4633722,1.7620894,4.141264
SDSS-II SN 13027 (g'r'i'),7.0267625,-3.1860435,-0.6073718,1.9380579
SDSS-II SN 13051 (g'r'i'),-0.9104487,-3.8266716,2.1366217,4.58994
SDSS-II SN 13058 (g'r'i'),-6.0085125,4.0210733,4.1966224,4.213492
SDSS-II SN 13062 (g'r'i'),-1.9706973,4.7245135,-0.048202857,6.9978046
SDSS-II SN 13076 (g'r'i'),-5.4021735,4.0192003,4.222105,4.3649807
SDSS-II SN 13096 (g'r'i'),3.96938,-0.039537083,-2.61809,2.5516171
SDSS-II SN 13106 (g'r'i'),-1.7172998,5.667783,3.2907841,4.384941
SDSS-II SN 13112 (g'r'i'),-5.6332884,6.647057,-0.43262303,5.3475304
SDSS-II SN 13147 (g'r'i'),4.8603168,0.68736404,-0.7576209,1.8280842
SDSS-II SN 13148 (g'r'i'),3.0777209,-6.955024,-1.4584651,-2.119421
SDSS-II SN 13158 (g'r'i'),-0.53523344,3.5680025,0.44124517,5.241855
SDSS-II SN 13168 (g'r'i'),-1.95561,4.2177477,2.271614,-0.55859613
SDSS-II SN 13269 (g'r'i'),-1.4199058,2.306401,1.684617,6.4922543
SDSS-II SN 13277 (g'r'i'),-2.228709,5.2368894,0.13232215,6.827739
SDSS-II SN 13291 (g'r'i'),-8.28516,7.113549,2.182724,6.1650352
SDSS-II SN 13304 (g'r'i'),1.638354,-1.2132021,-1.928806,4.2594657
SDSS-II SN 13323 (g'r'i'),2.6371,-2.0120707,-3.7125974,-0.22787237
SDSS-II SN 13329 (g'r'i'),0.99493337,1.1889383,-2.3467488,-0.1731596
SDSS-II SN 13330 (g'r'i'),-0.82268685,3.7480152,0.3428188,4.5750084
SDSS-II SN 13339 (g'r'i'),0.11689031,-3.4410973,2.143756,5.145328
SDSS-II SN 13344 (g'r'i'),-0.07562891,-2.9702508,1.8064216,4.718098
SDSS-II SN 13383 (g'r'i'),-1.9560804,0.45609164,-1.2689463,-1.7299598
SDSS-II SN 13395 (g'r'i'),-3.4460547,0.711079,1.2436455,5.2091107
SDSS-II SN 13406 (g'r'i'),-0.29686546,3.914712,1.8649987,4.0816445
SDSS-II SN 13413 (g'r'i'),-1.9473194,2.2820497,2.1235402,6.4525256
SDSS-II SN 1342 (g'r'i'),2.6555073,-0.57052153,-2.300703,3.1337183
SDSS-II SN 13423 (g'r'i'),0.06496001,4.7025886,-0.17623621,-0.1436598
SDSS-II SN 13440 (g'r'i'),-4.6445312,3.3976717,-1.8621858,1.5120325
SDSS-II SN 13441 (g'r'i'),5.9597073,-1.5614161,-2.2377546,-0.5090146
SDSS-II SN 13461 (g'r'i'),-3.1764736,5.8820996,-1.9237897,5.384194
SDSS-II SN 13472 (g'r'i'),0.07521497,3.0348506,1.7347411,5.642236
SDSS-II SN 13476 (g'r'i'),0.6267896,1.8182182,-1.6178495,1.4156793
SDSS-II SN 13477 (g'r'i'),2.5866084,1.8084762,-0.63719064,2.9439304
SDSS-II SN 13483 (g'r'i'),-4.0742126,6.531312,2.7031906,3.890276
SDSS-II SN 13487 (g'r'i'),6.5103235,-1.9190754,-1.7253631,-0.31168905
SDSS-II SN 13491 (g'r'i'),4.384431,0.68638635,-2.8626246,1.4622262
SDSS-II SN 13492 (g'r'i'),3.223482,1.0368828,0.22339211,-3.4082508
SDSS-II SN 13496 (g'r'i'),-6.9498143,5.080043,3.0810428,2.5943408
SDSS-II SN 13497 (g'r'i'),6.557236,-1.8600448,1.07813,-0.84002596
SDSS-II SN 13498 (g'r'i'),-6.8897777,3.99802,4.293688,3.891822
SDSS-II SN 13520 (g'r'i'),5.7901154,-0.97164685,-1.3065339,2.4349337
SDSS-II SN 13529 (g'r'i'),-1.0173291,1.2494442,-2.0342457,1.8215667
SDSS-II SN 13533 (g'r'i'),0.38976538,2.7130313,-0.23928064,4.6073203
SDSS-II SN 13554 (g'r'i'),6.1563597,-2.9284935,-2.7076347,-1.5353825
SDSS-II SN 13558 (g'r'i'),4.8306127,0.061093073,-2.844148,1.3294951
SDSS-II SN 13566 (g'r'i'),-3.8131113,5.1359873,1.9596355,7.6267343
SDSS-II SN 13589 (g'r'i'),-7.505134,4.1136317,4.1767836,4.214466
SDSS-II SN 13633 (g'r'i'),1.6620289,0.5800189,-2.885462,-2.587042
SDSS-II SN 13644 (g'r'i'),-2.9126737,4.158524,-0.25798884,7.4652495
SDSS-II SN 13646 (g'r'i'),2.037127,-2.541201,-1.7012995,-1.8791598
SDSS-II SN 13657 (g'r'i'),4.6204042,0.44507658,-0.89307225,2.4048512
SDSS-II SN 13675 (g'r'i'),-2.7236745,4.4594245,2.6379035,-1.801384
SDSS-II SN 13689 (g'r'i'),-4.308149,-0.4416598,0.21409358,-0.73086154
SDSS-II SN 13703 (g'r'i'),-2.548535,0.9006067,-0.82128626,-2.9770172
SDSS-II SN 13716 (g'r'i'),2.334482,-1.0294535,-4.2411885,0.17381136
