,SN,0,1,2,3
86,SDSS-II SN 18601,-2.1821084,-22.75026,12.587763,-20.142796
87,SDSS-II SN 18688,-0.5465168,-36.143356,21.04805,-16.637482
88,SDSS-II SN 19045,-12.497002,-6.742999,-11.454252,-9.464868
89,SDSS-II SN 19175,7.4826427,-3.8574424,2.0564206,-33.191677
90,SDSS-II SN 19181,-17.836004,4.9089227,1.6941706,4.346328
91,SDSS-II SN 19336,29.034163,-28.715769,-1.7537305,10.779221
92,SDSS-II SN 19731,-7.3286576,-29.749193,18.35215,30.16464
93,SDSS-II SN 20128,-18.530045,-37.18815,-0.30769888,-25.785662
94,SDSS-II SN 20695,-22.213032,-1.3993279,-10.873365,24.51249
95,SDSS-II SN 21065,26.15542,-18.338186,-3.4520462,7.618709
96,SDSS-II SN 21307,-40.90759,-2.3720808,-9.864134,18.163115
97,SDSS-II SN 21663,20.621063,-16.16558,-13.41454,-8.727447
98,SDSS-II SN 3832,-12.428019,-23.569899,14.158114,-5.4068074
99,SDSS-II SN 4118,2.4866033,1.9872079,-24.981543,-20.113356
100,SDSS-II SN 5323,-22.9306,9.299959,-24.282928,-9.884256
101,SDSS-II SN 5595,-23.781733,4.775408,-22.85582,-2.4628594
102,SDSS-II SN 5897,-23.348347,4.29589,-7.3089848,10.132672
103,SDSS-II SN 6225,1.0912464,-3.7852259,-17.55293,23.75548
104,SDSS-II SN 6288,-22.125101,-2.91353,-10.785675,-14.814321
105,SDSS-II SN 6638,1.2836283,-22.596405,9.752188,-6.929574
106,SDSS-II SN 7374,9.871038,-12.634978,-9.3458805,2.3186052
107,SDSS-II SN 7978,-43.157295,-11.853127,-11.604395,-2.909701
108,SDSS-II SN 8165,6.727722,-5.705067,-15.568989,-33.359238
109,SDSS-II SN 8457,39.031788,-21.826157,-5.6570406,-10.146915
110,SN2005eg,-14.513414,8.976837,-44.830166,-17.177212
111,SN2005fe,-10.351448,-14.174839,-30.207659,2.6815925
112,SN2005ft,-21.126987,-8.387233,-46.63262,-18.982721
113,SN2005fv,-20.602354,-1.1497822,-38.391163,12.481669
114,SN2005fx,-11.614553,-19.326824,-21.907648,20.715221
115,SN2005gc,-17.02192,10.910813,-44.23737,-0.5163001
116,SN2005gs,4.1533566,-25.008795,-40.37403,20.232883
117,SN2005gt,11.970959,-17.329914,-44.683445,1.5795338
118,SN2005gu,4.9316554,-25.899673,-10.787766,28.166904
119,SN2005hc,-33.593365,34.580128,-17.387217,1.3964231
120,SN2005ho,-24.283953,24.201775,-23.451847,12.168573
121,SN2005hx,-28.32937,19.668352,-35.48268,13.702574
122,SN2005id,-22.698088,15.544026,-33.992577,-3.1562808
123,SN2005ik,-20.337957,-18.622496,-34.769913,13.626725
124,SN2005jb,13.992219,-13.727046,-9.099169,22.076563
125,SN2005jf,20.352997,-7.3191276,-13.13218,-24.984814
126,SN2005jl,-25.553253,12.224343,-47.15465,-2.0046504
127,SN2005jy,-3.7474673,-13.200974,-25.825418,21.884966
128,SN2005jz,-10.87302,-14.1283655,-32.04926,23.423845
129,SN2005kn,-13.457153,-29.232159,-14.286606,3.9906533
130,SN2005li,-12.00564,-25.090036,-32.02217,3.241933
131,SN2006fg,-3.5797918,-24.447525,-6.1060915,-35.619354
132,SN2006fx,1.8270208,-35.36101,-13.97347,-25.37082
133,SN2006nu,-28.310402,-6.2439137,-39.006565,9.537379
134,SN2006ok,-24.479353,-4.6568604,-28.2581,19.558538
135,SN2006oo,-10.589008,-24.563604,8.586527,-13.905732
136,SN2007ih,-30.602161,-0.16886227,-20.022806,30.061926
137,SN2007mr,18.574478,-33.74662,10.920633,-28.909956
138,SN2007mt,29.723661,-20.317513,-6.8080115,-0.7709394
139,SN2007nk,-21.18852,-8.13992,-27.609383,7.1468296
140,SN2007nl,-19.866001,8.035992,-25.083157,-19.534538
141,SN2007pa,-2.209651,1.7192189,-37.5576,8.046343
142,SN2007qn,23.430586,-11.936754,-12.89789,2.3416812
143,SDSS-II SN 13383,-3.5927322,-7.0369987,-21.781925,-4.683788
144,SDSS-II SN 14268,-14.22303,-17.57947,-24.048439,-9.105564
145,SDSS-II SN 14792,0.040545955,-45.746433,12.478932,-15.592091
146,SDSS-II SN 15697,32.15304,-38.137035,1.3479605,-1.0936984
147,SDSS-II SN 16467,-7.7329555,-19.724318,-14.548543,10.355157
148,SDSS-II SN 16468,10.751488,-35.87957,5.286566,7.7025476
149,SDSS-II SN 17814,-24.802673,-26.381922,17.024796,3.6699727
150,SDSS-II SN 17967,8.328507,-13.716356,-34.59439,-18.72185
151,SDSS-II SN 19032,28.226336,-43.97584,5.32068,6.639955
152,SDSS-II SN 19347,1.745393,-25.242754,-49.225784,8.719116
153,SDSS-II SN 20278,19.226088,-26.697327,-30.847101,17.488043
154,SDSS-II SN 7882,-34.620052,-28.794281,-3.3480356,-17.53625
155,SN2005hp,-26.745953,-21.609165,-18.45248,24.1307
156,SN2006fk,6.6654315,-0.61339056,-39.212387,-25.592815
157,SN2006gw,-16.941938,-19.301315,2.1511497,-29.229044
158,SN2006la,-26.21921,0.070138425,-47.793327,-8.240843
159,SN2006pk,-20.105742,2.1385014,-0.5278431,-23.211731
160,SN2007ik,-24.875349,9.462422,-38.682423,-27.178593
161,SN2007iz,-7.4971223,-20.998726,9.259748,-38.171165
162,SN2007jn,-2.3640153,-30.668308,-1.1683669,-1.5312487
163,SDSS-II SN 10991,-6.882508,-44.003307,14.229674,-7.835941
164,SDSS-II SN 13633,22.085808,-17.27776,-22.007486,9.662738
165,SDSS-II SN 14413,-31.196688,-3.6495948,0.4730711,-28.522402
166,SDSS-II SN 14475,6.750593,-34.99107,14.015479,25.669687
167,SDSS-II SN 14531,22.582317,-7.2545924,-22.669716,21.751574
168,SDSS-II SN 15184,-19.902685,-7.1846166,1.2900628,13.014327
169,SDSS-II SN 17851,21.118935,-37.741238,-3.2147517,5.789392
170,SDSS-II SN 20045,18.157274,-38.654762,12.595719,0.9197025
171,SDSS-II SN 6333,19.527706,-38.059727,-3.2754056,-25.551487
172,SDSS-II SN 6696,15.253482,-44.168312,-23.503849,8.120949
173,SN2005ey,-30.499971,29.61981,-30.057196,5.3878827
174,SN2005ff,-25.060446,9.102638,-45.807205,13.675927
175,SN2005fi,-31.35618,-26.937387,-27.260456,-5.740375
176,SN2005fu,-44.2906,0.34002304,-16.346884,4.8365617
177,SN2005fz,8.896686,-0.7236294,-33.0919,12.244958
178,SN2005ge,-15.844287,-11.557625,-14.303741,18.671299
179,SN2005hu,-5.882243,-31.028215,-46.35246,4.7329073
180,SN2005ia,-3.758629,-5.2156653,-46.382336,-17.29195
181,SN2005ic,6.2504935,-26.035555,-24.891367,29.171663
182,SN2005ie,17.416111,-3.4178205,-36.314045,-0.49210784
183,SN2005ih,-26.72788,-34.276714,-16.358429,-8.273346
184,SN2005jh,-12.276135,20.159973,-38.309975,-5.7091775
185,SN2005jk,-22.880915,-17.642101,-21.458296,12.934022
186,SN2005jo,-17.482063,-13.563102,-17.04993,5.082447
187,SN2005jt,17.582167,-35.60225,-0.9749406,27.19731
188,SN2005mh,12.6831045,-12.191394,-25.54453,-4.761104
189,SN2006fo,1.7069741,-48.373985,5.074921,9.238846
190,SN2006gm,22.556475,0.17160639,-36.67479,7.930845
191,SN2006hc,-30.043367,-11.974259,-30.2534,-9.6062975
192,SN2006jo,-4.668229,-42.270893,-2.896213,20.813845
193,SN2006jx,21.544302,-20.294214,5.1754813,29.990433
194,SN2006no,-15.719555,-23.10009,-12.402403,-28.782297
195,SN2007ky,1.5655886,-53.05394,-10.293777,-0.32153574
196,SN2007ny,-23.985643,3.0474977,-1.9731548,-10.074333
197,SDSS-II SN 10997,-28.502447,-4.113878,-40.030376,-15.813768
198,SDSS-II SN 11120,-12.086857,12.480818,-28.599293,-3.8067775
199,SDSS-II SN 11532,-53.330242,-22.664408,-7.3355727,-5.070375
200,SDSS-II SN 12213,32.042576,-30.280607,5.1370673,1.2439216
201,SDSS-II SN 1257,-26.506538,-3.1453397,-10.153495,-25.448618
202,SDSS-II SN 12879,-11.764136,7.92429,-12.090469,-33.656925
203,SDSS-II SN 12936,6.880984,-12.668629,-15.341062,14.844525
204,SDSS-II SN 12939,-15.837424,-4.065534,-21.693523,-7.003775
205,SDSS-II SN 12964,6.3349967,-11.499716,-26.779943,20.609533
206,SDSS-II SN 13051,-5.3226805,-9.833634,-20.637129,14.818176
207,SDSS-II SN 13062,-33.887936,-18.702934,8.471094,-1.0183874
208,SDSS-II SN 13076,39.046448,-26.360128,2.7855463,2.0860348
209,SDSS-II SN 13096,16.71882,-18.314486,-24.716652,20.455013
210,SDSS-II SN 13168,16.73941,-10.607044,6.355028,40.271744
211,SDSS-II SN 13283,-6.9032855,-4.2859926,-4.81083,-13.609192
212,SDSS-II SN 13291,-11.285614,-9.168696,-4.268149,-25.182919
213,SDSS-II SN 13330,5.8427615,-22.212994,-0.9861663,-24.446423
214,SDSS-II SN 13344,2.306215,-28.278574,-21.677273,0.61707985
215,SDSS-II SN 13395,-14.852891,-12.264308,-42.700466,5.675175
216,SDSS-II SN 13404,-9.887846,-1.1934644,-11.976887,16.844727
217,SDSS-II SN 1342,-0.25989944,3.1455584,-1.2048728,7.5421185
218,SDSS-II SN 13440,-9.0253525,-18.667728,-21.940699,-32.848427
219,SDSS-II SN 13441,20.066166,-19.264608,-22.240677,-4.021995
220,SDSS-II SN 13460,-1.909391,-22.702261,-10.539426,3.4516943
221,SDSS-II SN 13472,10.913999,-12.724362,-7.7201977,-39.470047
222,SDSS-II SN 13487,13.028887,-23.642668,-17.403835,10.675332
223,SDSS-II SN 13492,-8.34885,-36.370342,19.073933,-0.7314138
224,SDSS-II SN 13529,0.01713892,-17.63379,-38.572773,22.451677
225,SDSS-II SN 13554,6.0591226,-19.282103,-19.007235,29.654951
226,SDSS-II SN 13644,-23.50468,13.418775,-18.455814,-29.801416
227,SDSS-II SN 13646,4.9738803,4.664635,-39.395767,-0.23002496
228,SDSS-II SN 13675,6.4268,-34.994526,-30.226204,15.58003
229,SDSS-II SN 13699,-6.034981,-17.635658,-6.5306892,-20.758423
230,SDSS-II SN 13725,-42.327663,-4.4804,-4.7159653,-10.45036
231,SDSS-II SN 13803,-12.968847,-13.509502,7.430796,6.7524157
232,SDSS-II SN 13813,-25.958096,-18.830952,-23.588396,-11.378406
233,SDSS-II SN 13833,21.678074,-20.863832,-7.313953,-16.57527
234,SDSS-II SN 13843,36.198814,-15.056209,-12.483412,14.721563
235,SDSS-II SN 13864,-9.612851,-36.77711,-29.201271,6.537779
236,SDSS-II SN 13931,7.9871984,-42.30632,11.36479,1.1917328
237,SDSS-II SN 1395,-23.695225,-20.410328,-11.676745,-7.284347
