,SN,0,1,2,3,4
73,SDSS-II SN 15988,9.818757,-29.461779,5.456303,-3.3880317,2.389162
74,SDSS-II SN 15992,-12.501736,-7.718252,9.095531,0.6646297,2.5049913
75,SDSS-II SN 16094,0.19548777,-16.176826,-6.447945,11.387636,15.406144
76,SDSS-II SN 1706,1.219352,-1.5303737,-16.56236,-18.414576,-13.074524
77,SDSS-II SN 17455,2.171385,-18.524546,-10.030979,8.928028,1.7100801
78,SDSS-II SN 17644,-0.5822667,5.9593635,-12.444785,-12.305611,-18.926857
79,SDSS-II SN 17845,-8.9185,1.2820026,-10.5029335,-7.85083,-14.991277
80,SDSS-II SN 18032,-11.014339,-0.9208749,-13.97867,9.374333,-6.256677
81,SDSS-II SN 18048,19.798456,-4.290107,-12.359422,-11.7048855,3.8015602
82,SDSS-II SN 18165,-1.3113999,-1.9813148,-16.989237,9.843362,-5.2072983
83,SDSS-II SN 18311,14.811246,1.4963498,-17.486898,9.305456,0.22457363
84,SDSS-II SN 18339,-2.4372504,-9.725411,-5.405566,-4.5966344,-6.775205
85,SDSS-II SN 18365,-1.0251335,-3.54878,-15.838734,0.857154,-2.9653547
86,SDSS-II SN 18601,23.03724,-13.707252,-7.837549,-6.137549,5.711751
87,SDSS-II SN 18688,11.402864,-24.023727,-5.6292033,11.179028,13.518333
88,SDSS-II SN 19045,-3.311381,-9.74058,-16.906153,8.939,0.34235135
89,SDSS-II SN 19175,-11.454619,-4.6899576,1.3499695,-20.495928,-0.7679295
90,SDSS-II SN 19181,19.256052,5.309444,-8.946128,-12.562975,-4.065677
91,SDSS-II SN 19336,-4.711675,-16.145096,17.563263,1.6631875,10.4307
92,SDSS-II SN 19731,-11.7643585,-12.128134,-7.865813,-9.286556,20.144547
93,SDSS-II SN 20128,8.052425,-18.979391,0.17899291,-10.374872,-6.3495626
94,SDSS-II SN 20695,9.825877,-4.653866,-7.9806924,-23.568869,3.385503
95,SDSS-II SN 21065,-6.6714616,-15.149239,7.85529,2.3911154,10.53106
96,SDSS-II SN 21307,-6.0804324,-1.2075231,3.4308422,-14.025567,-11.4143915
97,SDSS-II SN 21663,-7.088537,-17.502518,-1.2840903,-7.9361496,6.1067066
98,SDSS-II SN 3832,25.117147,-9.059671,-10.971067,-1.1589555,-3.7998931
99,SDSS-II SN 4118,-8.376572,-5.178978,-7.784475,-6.3074207,0.21320766
100,SDSS-II SN 5323,-2.0682995,5.6735015,-11.848503,-1.4892392,-16.626553
101,SDSS-II SN 5595,4.03306,1.4572424,-14.640519,-1.7485541,-14.3860855
102,SDSS-II SN 5897,10.356669,-0.875052,-9.294965,-17.127197,-8.464524
103,SDSS-II SN 6225,-23.756311,-10.538434,4.62183,12.678165,2.7281837
104,SDSS-II SN 6288,-4.6854215,-7.0434628,-18.729656,5.6477313,-9.953753
105,SDSS-II SN 6638,10.57921,-21.542665,-5.7335424,2.7978663,6.800889
106,SDSS-II SN 7374,-9.10828,-11.335826,1.0942159,1.6694257,5.0267687
107,SDSS-II SN 7978,-17.763477,2.7557526,-12.449592,14.380745,-3.5732117
108,SDSS-II SN 8165,-11.835257,-15.654728,-17.491673,-7.541325,1.76236
109,SDSS-II SN 8457,0.27518794,-17.215664,-7.315964,-0.43671808,13.502223
110,SN2005eg,-10.452702,-8.456135,-21.580748,-4.633554,-21.287794
111,SN2005fe,-0.706683,-12.124934,-0.95903766,1.2251055,-18.640371
112,SN2005ft,-13.933464,-15.503538,-21.443932,3.127717,-16.962036
113,SN2005fv,0.11807035,-5.936199,-8.648425,2.3215008,-30.961203
114,SN2005fx,-6.7223787,-17.972797,7.405929,8.621705,-24.252434
115,SN2005gc,7.7645216,-6.3663826,-15.95562,-3.8060932,-25.806185
116,SN2005gs,-0.24641263,-21.03055,8.833263,-14.788841,-12.416885
117,SN2005gt,-6.737116,-14.505285,0.79854494,-13.270744,-15.571952
118,SN2005gu,-4.7935686,-11.35186,17.769617,14.637419,-3.0454044
119,SN2005hc,-10.140617,12.418499,-20.429228,-17.164358,-11.891755
120,SN2005ho,-9.379445,9.18704,-16.81578,-9.317149,-22.09263
121,SN2005hx,-7.22401,-2.1584806,-15.30236,-12.898208,-25.867882
122,SN2005id,3.803391,7.506848,-17.145744,-9.181192,-27.12706
123,SN2005ik,15.256664,-10.131208,-2.2021542,1.6319776,-18.147787
124,SN2005jb,-6.4675775,-7.9309587,12.704542,2.7957222,-3.12241
125,SN2005jf,-12.17881,-10.056079,-9.3747425,-12.463327,8.726755
126,SN2005jl,2.6704662,-7.785283,-21.818651,-5.068644,-22.879688
127,SN2005jy,-6.4285393,-13.270325,12.456328,4.600822,-19.579477
128,SN2005jz,1.419985,-13.424829,11.9254675,7.958204,-20.62326
129,SN2005kn,4.051562,-14.897325,4.2752385,9.454422,-13.653036
130,SN2005li,1.6805001,-18.750921,1.4410039,7.0219054,-23.07641
131,SN2006fg,-18.343256,-20.206196,-8.200967,-11.240139,0.67235976
132,SN2006fx,-6.378733,-18.490316,-3.1109035,6.561216,1.2639886
133,SN2006nu,4.1029778,-12.002286,-12.255297,3.9207888,-28.069813
134,SN2006ok,13.337236,0.603322,-2.0884037,-8.542761,-21.374971
135,SN2006oo,20.254856,-10.814871,-4.0215964,3.481765,-1.9794372
136,SN2007ih,-11.700535,-9.574335,-21.281431,11.731871,-7.259484
137,SN2007mr,18.979263,-11.057971,3.680951,-3.722136,16.805517
138,SN2007mt,-6.5152845,-18.60056,2.2298965,7.879022,12.461834
139,SN2007nk,13.200141,-2.69818,-3.2903798,1.5267315,-26.250914
140,SN2007nl,-9.821858,7.00896,-14.591448,0.97633237,-13.163158
141,SN2007pa,-0.79317355,-0.3898244,2.7270803,-4.1996665,-30.068903
142,SN2007qn,-9.303211,-15.823151,8.68326,-6.604936,5.0988307
143,SDSS-II SN 13383,-4.496025,-1.9043556,-1.0065082,9.034316,-16.092663
144,SDSS-II SN 14268,1.9068148,-16.965866,-8.729462,-0.50929725,-11.635964
145,SDSS-II SN 14792,18.920061,-27.94391,1.7413437,5.9502153,4.307913
146,SDSS-II SN 15697,-0.59652615,-22.954063,15.799206,-0.17221636,20.35497
147,SDSS-II SN 16467,-2.387352,-8.100736,5.3957787,14.886132,-10.30608
148,SDSS-II SN 16468,11.954996,-20.831062,11.917508,-7.5265656,1.8381517
149,SDSS-II SN 17814,15.398854,-14.8301935,-16.920126,13.8985195,-5.334728
150,SDSS-II SN 17967,-17.18189,-12.550945,-1.3796788,1.5443659,-15.888951
151,SDSS-II SN 19032,1.606534,-25.872309,18.603579,4.5720334,12.430349
152,SDSS-II SN 19347,-10.1958685,-21.21025,1.39439,-6.9511023,-22.111052
153,SDSS-II SN 20278,-11.88137,-14.571108,16.332191,-5.1452985,-8.634696
154,SDSS-II SN 7882,-3.6738794,-12.585073,-3.413461,14.256733,-19.585247
155,SN2005hp,2.654838,-10.175823,-4.5471005,13.475678,-29.13356
156,SN2006fk,-18.836357,-13.368689,-4.0729737,15.941148,-12.506287
157,SN2006gw,10.05909,-19.327051,-16.48216,-1.8355228,12.626322
158,SN2006la,-11.240054,-12.184629,-15.3184185,1.6016505,-28.938442
159,SN2006pk,2.6881201,5.8827534,-14.554354,16.434988,-18.489712
160,SN2007ik,-18.323631,-3.5280461,-20.24961,7.940065,-19.904207
161,SN2007iz,4.113038,-16.756533,5.1081233,-18.234255,-1.662353
