0,1,2,3,4,5,6,7
SDSS-II SN 1302 (g'r'i'),-0.43423545,0.76236653,-0.15173627,-0.96020114,-0.28902805,-2.9212787,1.1573405
SDSS-II SN 13027 (g'r'i'),0.48930368,1.510099,-1.9224021,0.70766824,-0.9399574,-1.5878013,3.482249
SDSS-II SN 13051 (g'r'i'),-0.5284139,1.0162023,-0.18825005,-0.51862717,-0.6687172,-3.0303373,1.215992
SDSS-II SN 13058 (g'r'i'),-0.33257517,-2.5202496,2.9372885,-2.9435513,-1.3447701,-2.0083575,-3.5077386
SDSS-II SN 13062 (g'r'i'),2.0801833,-1.7652494,1.3318038,-0.6492498,1.1243901,-3.0171008,-2.6769724
SDSS-II SN 13076 (g'r'i'),0.080916524,-2.4802868,2.7142045,-2.7194586,-1.5305964,-2.2004423,-3.2644129
SDSS-II SN 13096 (g'r'i'),1.6032345,-1.1074641,-2.1420417,-0.19011012,-0.30608967,-0.6494241,2.3671436
SDSS-II SN 13106 (g'r'i'),1.8607484,-3.1168766,1.8460193,-1.0325661,-1.9334362,-2.2848072,-3.167662
SDSS-II SN 13112 (g'r'i'),-0.13711533,-3.872707,1.7019995,-0.68803656,1.439955,-3.867697,-3.7701175
SDSS-II SN 13147 (g'r'i'),1.6084235,-0.77588767,-1.3888928,0.6667803,-1.7435424,-0.7384058,2.268167
SDSS-II SN 13148 (g'r'i'),-1.2092605,3.1106815,-1.2310404,1.0627668,2.0704765,0.53147453,2.6525168
SDSS-II SN 13158 (g'r'i'),2.3127563,-1.5892898,1.2093794,-0.29193032,-0.2539733,-2.3180215,-1.3089604
SDSS-II SN 13168 (g'r'i'),-0.42533627,-1.7142048,1.8492175,-1.0974418,-1.7196802,0.5959423,-1.0218258
SDSS-II SN 13269 (g'r'i'),2.2996907,-0.94427097,1.7615242,-2.001143,-0.23635583,-2.0696383,-1.8514966
SDSS-II SN 13277 (g'r'i'),2.0057292,-1.9672785,1.5050218,-0.62107325,0.9934279,-3.353224,-2.9174416
SDSS-II SN 13291 (g'r'i'),-0.7444908,-4.1118755,3.67434,-1.9050903,1.2059224,-3.0771713,-5.073954
SDSS-II SN 13304 (g'r'i'),1.9528635,-0.40480122,-1.0660731,-1.1007022,0.99852,-1.8405545,1.931689
SDSS-II SN 13323 (g'r'i'),1.1421202,0.6840652,-1.6854256,0.023778716,0.33211878,1.5280095,2.3483286
SDSS-II SN 13329 (g'r'i'),1.1295015,-0.77204293,-0.66489446,-0.83082926,-0.5949014,1.5581408,1.2390227
SDSS-II SN 13330 (g'r'i'),1.8402618,-1.6023458,1.3015412,-0.099667616,-0.60373497,-2.5758479,-1.1331283
SDSS-II SN 13339 (g'r'i'),-0.06458728,0.786697,-0.3240691,-0.096068725,-1.3143224,-2.8196268,1.5741812
SDSS-II SN 13344 (g'r'i'),0.10648069,0.4885563,-0.32374373,-0.5111962,-1.0206772,-2.6860878,1.5672486
SDSS-II SN 13383 (g'r'i'),0.4911174,0.2349324,0.51332545,-1.5376177,0.47481316,2.5116863,-0.6345194
SDSS-II SN 13395 (g'r'i'),-0.25954586,-0.80488944,0.9819782,-1.8960983,0.14280327,-2.95838,-1.0690469
SDSS-II SN 13406 (g'r'i'),2.1468093,-2.2922637,1.1037438,-0.5155765,-1.4977301,-1.7076552,-1.5037559
SDSS-II SN 13413 (g'r'i'),1.9118291,-0.9351872,1.9404261,-2.2451866,-0.4243154,-2.5390332,-1.9567872
SDSS-II SN 1342 (g'r'i'),1.8740568,-0.825053,-1.543764,-0.65904164,0.2845411,-0.9796057,2.1388202
SDSS-II SN 13423 (g'r'i'),0.68439734,-2.1939943,1.5199302,-0.60396105,-1.9703814,1.0571917,0.23257957
SDSS-II SN 13440 (g'r'i'),1.6040934,-1.7523565,1.2318962,-0.40367377,0.7136333,-0.62291336,-2.0556335
SDSS-II SN 13441 (g'r'i'),0.85856533,0.49708253,-2.918049,1.6021786,-1.0011649,0.66883636,2.7818942
SDSS-II SN 13461 (g'r'i'),0.857474,-3.0825274,1.0926108,-0.16332386,1.0248548,-4.4587035,-1.810667
SDSS-II SN 13472 (g'r'i'),2.8622367,-2.092865,0.8375578,-1.3261204,-0.3721537,-1.6853659,-1.4657903
SDSS-II SN 13476 (g'r'i'),2.2110918,-1.0268705,0.1941689,-0.87235236,-0.43721062,0.59684664,0.86452806
SDSS-II SN 13477 (g'r'i'),2.0316763,-1.4325426,-0.31274283,0.008011507,-1.0858134,-1.0550429,1.2196527
SDSS-II SN 13483 (g'r'i'),0.23086172,-2.8413417,2.1747165,-0.73028535,-1.2610793,-2.4910672,-4.342947
SDSS-II SN 13487 (g'r'i'),0.7574282,0.7965216,-2.8271947,1.7330168,-1.286656,0.29839393,3.1605618
SDSS-II SN 13491 (g'r'i'),1.4029933,-1.4349706,-2.4204097,0.46324596,-0.6990989,-0.012258706,1.9370421
SDSS-II SN 13492 (g'r'i'),0.1948331,0.29231742,0.34364432,1.3882964,-1.3394525,2.1380014,0.9263483
SDSS-II SN 13496 (g'r'i'),-1.049372,-2.8009274,3.3282871,-1.6439748,-0.5069888,-1.2694887,-4.214149
SDSS-II SN 13497 (g'r'i'),0.7534397,1.4722046,-1.1546928,2.6400309,-2.1067486,-0.18994877,2.9839756
SDSS-II SN 13498 (g'r'i'),-0.7658242,-2.59481,3.2439086,-3.1801178,-1.150968,-1.6593217,-3.8353777
SDSS-II SN 13520 (g'r'i'),1.3925418,0.2538613,-1.7897627,-0.09734965,-1.0736617,-0.84337854,3.164186
SDSS-II SN 13529 (g'r'i'),1.4526236,-0.8686444,-0.026141888,-2.2578115,-0.14419144,0.23928885,0.5650237
SDSS-II SN 13533 (g'r'i'),2.3281016,-1.5723776,0.68440384,-0.20582199,-0.07686789,-1.7930639,-0.35535353
SDSS-II SN 13554 (g'r'i'),-0.35519245,0.89639086,-3.10243,1.8448913,-0.36534604,0.8871709,2.9020782
SDSS-II SN 13558 (g'r'i'),1.4339987,-0.96677816,-2.7117474,0.54793364,-0.7002078,-0.025470814,2.245582
SDSS-II SN 13566 (g'r'i'),1.571354,-2.1644614,1.3176677,-1.9098216,0.10150301,-3.1367135,-4.2773986
SDSS-II SN 13589 (g'r'i'),-0.9094444,-2.6996856,3.4208777,-3.3799157,-0.7763763,-1.7551891,-4.0768943
SDSS-II SN 13633 (g'r'i'),1.2618052,-0.6658555,-0.5960794,0.98321676,0.30040675,2.3503065,1.0790212
SDSS-II SN 13644 (g'r'i'),1.5061237,-1.6236422,1.1733125,-1.2462212,1.5567592,-2.7596288,-2.9308388
SDSS-II SN 13646 (g'r'i'),0.57819575,0.771845,-1.9985154,1.2705665,1.2938229,1.2088537,0.65565956
SDSS-II SN 13657 (g'r'i'),1.5918635,-0.6334901,-1.2379496,0.11132555,-1.4605063,-0.7878595,2.493355
SDSS-II SN 13675 (g'r'i'),-1.1727917,-1.0705744,2.5401893,-0.73104376,-1.3181462,1.0355802,-1.3155932
SDSS-II SN 13689 (g'r'i'),-0.8106334,-0.102141276,0.5437502,-2.171275,0.90428877,0.6634969,-1.8078514
SDSS-II SN 13703 (g'r'i'),0.040830567,0.20250276,0.76215816,-0.59118986,0.45326743,2.5742743,-1.4042004
SDSS-II SN 13716 (g'r'i'),1.2456279,0.21460362,-0.9505991,-0.11994366,-0.42031607,1.747516,2.4733882
SDSS-II SN 13719 (g'r'i'),2.2033455,-2.6830633,0.99394464,-0.92045593,-1.0979496,-2.9324079,-1.9390801
SDSS-II SN 13725 (g'r'i'),-0.5344699,-4.149919,3.5952902,-1.7675328,1.5411055,-3.2764497,-5.1317677
SDSS-II SN 13729 (g'r'i'),1.6508685,-0.2359613,-2.71632,0.5800782,-0.6275733,-0.11061489,2.4843569
SDSS-II SN 13732 (g'r'i'),0.9946007,-2.4464571,1.0505317,-0.4478169,-1.2859905,1.5668317,0.75636613
SDSS-II SN 13741 (g'r'i'),1.1605375,-2.7244084,2.6257646,-2.0076323,1.183389,-4.1348186,-4.7294927
SDSS-II SN 13750 (g'r'i'),1.7341913,1.004834,-0.9291149,1.1333392,-1.8136053,-0.973855,2.648266
SDSS-II SN 13767 (g'r'i'),0.67300284,-3.0750306,2.708536,-1.4093145,0.5585922,-4.3574724,-4.103251
SDSS-II SN 13768 (g'r'i'),1.6479524,-0.5086054,-1.0523782,-1.2441522,0.6891267,0.6832375,1.6794963
SDSS-II SN 1378 (g'r'i'),0.9940448,-1.4761803,0.5948843,-1.8651444,-0.38749537,-1.4307312,-0.35964355
SDSS-II SN 13784 (g'r'i'),-0.22111572,-1.6985122,1.3942298,-1.1756767,-1.466825,-0.507483,-2.6242764
SDSS-II SN 13786 (g'r'i'),1.507917,-0.6028833,-1.4660954,-1.748937,0.54170716,-0.48896343,2.9026887
SDSS-II SN 13803 (g'r'i'),2.067911,-1.7978781,1.3572963,-0.64319366,0.97619444,-3.0447547,-2.6527574
SDSS-II SN 13813 (g'r'i'),1.2927579,-0.014420306,-1.3224733,-1.287743,1.0404638,0.6604365,2.060308
SDSS-II SN 13815 (g'r'i'),1.2696229,-1.5427369,1.8094742,-1.7582674,-0.6897505,-3.1715436,-2.090776
SDSS-II SN 13820 (g'r'i'),1.1464447,1.1389304,-1.8977678,-0.41733602,1.3396493,-0.48515925,2.8530788
SDSS-II SN 13833 (g'r'i'),0.818965,0.5093318,-2.8503692,1.5984728,-1.3735496,0.36972582,3.0749779
SDSS-II SN 13839 (g'r'i'),1.8182476,-1.4626639,0.5057013,-1.4624524,0.4800003,-0.8590348,-0.03024995
SDSS-II SN 13849 (g'r'i'),0.4991058,1.5311526,-1.9813961,0.696929,-0.86908,-1.558747,3.5198116
SDSS-II SN 1385 (g'r'i'),0.5653731,0.20040306,-0.45564574,-0.7453746,-0.8814584,-2.4116976,1.8099458
SDSS-II SN 13859 (g'r'i'),1.9492823,-0.8762718,0.31637812,-0.84345376,0.1980508,1.3991686,0.9168102
SDSS-II SN 13861 (g'r'i'),1.5786002,0.012811074,-2.487335,0.374255,-0.8151105,-0.5607009,2.8889403
SDSS-II SN 13862 (g'r'i'),2.4746587,-1.5808481,0.34783784,-0.41569537,0.2788313,-1.6874862,0.08831106
SDSS-II SN 13864 (g'r'i'),1.9208602,0.12173944,-2.1209407,0.6319785,0.2838589,0.68080956,1.1400561
SDSS-II SN 13868 (g'r'i'),1.356065,-1.4906254,1.7923412,-3.2429616,-0.49568906,-2.5830476,-3.1181371
SDSS-II SN 13896 (g'r'i'),-0.09001795,0.025167722,0.6137907,-0.8532421,0.6442484,2.2398102,-1.9348217
SDSS-II SN 13903 (g'r'i'),1.8111765,-0.14620006,-2.5640447,0.46646985,-0.5608497,-0.31571066,2.4878967
SDSS-II SN 13909 (g'r'i'),-0.970039,-0.6956721,1.8305285,-1.8596519,-0.81807274,1.1888176,-1.2105168
SDSS-II SN 13931 (g'r'i'),0.06765474,0.45299628,-0.120301455,-0.043034162,-1.4720031,-2.6998253,1.3563101
SDSS-II SN 13932 (g'r'i'),-0.75068337,-1.3345901,2.1243834,-0.3721617,0.33247337,0.08169259,-3.6246123
SDSS-II SN 13946 (g'r'i'),-0.03629025,-1.2060868,0.5299263,0.461664,0.6556983,2.8674283,-0.88462716
SDSS-II SN 1395 (g'r'i'),-0.2870695,0.62719095,-0.4969519,-1.4586593,0.15910123,-2.5860887,1.3830124
SDSS-II SN 13968 (g'r'i'),-0.86495847,-2.6704504,3.3737745,-3.3076794,-0.978918,-1.6971616,-3.9719548
SDSS-II SN 13971 (g'r'i'),1.7978603,-1.1899835,-0.6064245,-1.2489536,0.69333774,-1.8907675,1.0938134
SDSS-II SN 14013 (g'r'i'),-0.20519337,-0.65108925,-2.4998915,-0.3952044,-1.4149296,-0.17394574,3.4301944
SDSS-II SN 14015 (g'r'i'),1.7144157,-0.024479615,-1.3958297,0.0585828,-1.0999324,-1.2106416,2.6115386
SDSS-II SN 14053 (g'r'i'),-0.86478835,-2.9316306,3.358401,-2.9601595,-0.3198322,-2.2370677,-4.2000093
SDSS-II SN 14054 (g'r'i'),1.1330602,-2.2914944,1.518588,-1.3901296,0.7678486,-3.4248967,-3.3959587
SDSS-II SN 14074 (g'r'i'),1.8818318,-0.19266075,-2.263346,0.91759276,-0.30357945,0.6578249,1.2766417
SDSS-II SN 14081 (g'r'i'),0.47104517,-3.1145573,2.6159909,-1.6308372,0.7324246,-4.1551805,-4.1918807
SDSS-II SN 14085 (g'r'i'),1.4220433,-2.27918,2.1237853,-0.8188049,-0.92915916,-3.751735,-3.6026597
SDSS-II SN 1409 (g'r'i'),-0.6536796,-3.5364647,3.0127943,-2.1512,-0.28999218,-3.3424857,-4.2789702
SDSS-II SN 14102 (g'r'i'),2.3413172,-1.5112317,1.0014583,-0.061926164,-0.26187915,-0.7663914,0.018561164
SDSS-II SN 14113 (g'r'i'),0.886259,1.784661,-1.8980155,2.367589,-1.6350194,-0.22667664,3.3136797
SDSS-II SN 14170 (g'r'i'),0.81709063,-3.140214,1.069958,-0.13335428,1.0421885,-4.5316424,-1.7547216
SDSS-II SN 14205 (g'r'i'),1.6280626,-0.5824161,-1.4844139,-1.4843204,0.612862,-0.54212046,2.7140782
SDSS-II SN 14209 (g'r'i'),-0.37397414,-1.3883879,1.4971315,-1.1481519,0.108356185,-0.51821876,-3.5947406
SDSS-II SN 14231 (g'r'i'),-0.5599317,0.5942418,0.64672583,-0.3871672,-0.014373602,2.7176344,-1.7408404
SDSS-II SN 14232 (g'r'i'),-0.45502937,-1.8412772,2.2846425,-0.5106047,0.4748937,-0.40860143,-4.432268
SDSS-II SN 14251 (g'r'i'),2.5164979,-1.2381814,1.5178158,-1.4384046,-0.10701702,-2.0096002,-1.8033028
SDSS-II SN 14258 (g'r'i'),1.1819907,-0.26407373,-2.9232845,1.4080522,-0.64649355,0.98311776,1.7778249
SDSS-II SN 14260 (g'r'i'),-1.588539,-1.6636666,3.1525679,-1.3558362,-1.7105347,-0.5471916,-0.53969884
SDSS-II SN 14262 (g'r'i'),0.12888345,-3.48549,2.7903023,-1.8204211,1.6122127,-3.7493534,-4.692447
SDSS-II SN 14268 (g'r'i'),1.8575643,-0.93562585,-0.35995921,-1.436881,1.1788824,-1.7880211,0.8220578
SDSS-II SN 14285 (g'r'i'),-0.47851062,-2.5540779,2.9905431,-2.905294,-1.3544827,-1.9113481,-3.5607417
SDSS-II SN 14304 (g'r'i'),-0.123326235,-0.58364254,1.6224976,-0.7589491,-1.5540036,1.6384493,0.23207463
SDSS-II SN 14305 (g'r'i'),0.671698,-0.21921307,0.32528397,-0.6688388,-0.7268497,2.2222638,0.1355022
SDSS-II SN 14308 (g'r'i'),1.2155248,1.5757096,-1.7908803,0.64265054,2.0798242,1.1183215,1.3035836
SDSS-II SN 14309 (g'r'i'),-0.95694697,-1.0947669,2.1164405,-0.24329272,0.29919723,0.36446163,-3.3386004
SDSS-II SN 14310 (g'r'i'),1.2985846,-1.458062,-0.2794425,-0.6947718,-1.7433923,0.3464879,1.9742831
SDSS-II SN 14311 (g'r'i'),-1.1555511,0.85932827,-2.8713984,2.0142798,-1.325629,0.25468183,3.5980744
SDSS-II SN 14322 (g'r'i'),0.9690336,-0.27597794,-1.2300715,-0.24812968,-1.5677794,0.2579109,3.0753534
SDSS-II SN 14329 (g'r'i'),-0.45233685,-1.4836264,1.6774324,-1.0354222,-0.021931333,-0.39968652,-3.6455398
SDSS-II SN 14332 (g'r'i'),0.16634946,-2.9727807,2.1937919,-1.855864,0.82273126,-3.9880123,-3.817545
SDSS-II SN 14334 (g'r'i'),0.3265771,-0.3870359,0.909866,0.5204535,1.5653768,1.2106489,-2.742137
SDSS-II SN 14335 (g'r'i'),-0.23553167,-2.9848025,2.614464,-1.606136,-1.4274399,-2.7301857,-3.4467003
SDSS-II SN 14343 (g'r'i'),0.5745835,-0.95153904,1.101845,-0.5979728,-0.07204769,1.9220974,-0.49481693
SDSS-II SN 14347 (g'r'i'),-0.93856734,-0.98261535,1.1950337,-1.658353,-1.2351018,0.15983686,-2.111395
SDSS-II SN 14355 (g'r'i'),0.5184421,0.73598075,-1.1416624,-1.2910993,0.27345005,-2.5201714,2.3463788
SDSS-II SN 14357 (g'r'i'),1.2940214,-1.2049891,-2.4424455,0.8843832,-1.2461352,-0.06664983,2.172526
SDSS-II SN 14361 (g'r'i'),2.4256403,-1.6918405,0.11574755,-0.28207633,-0.43030196,-1.570171,0.5103444
SDSS-II SN 14375 (g'r'i'),2.3308425,-0.9491069,0.0145788565,-0.48637483,-0.9453323,0.36899707,1.0132425
SDSS-II SN 14400 (g'r'i'),1.1218992,-1.446387,1.9513577,-2.5100825,-0.5793934,-3.155034,-2.33821
SDSS-II SN 14415 (g'r'i'),-0.5744627,-1.7355782,1.5256155,-1.5478097,-1.6758893,-1.5964973,-2.6747742
SDSS-II SN 14429 (g'r'i'),1.8665171,-1.2300197,-0.48083836,-0.20443079,-0.9843775,-1.4271013,1.529963
SDSS-II SN 14438 (g'r'i'),0.2566517,-0.88033617,0.81310594,-1.3942171,0.084214896,1.6212265,-2.041116
SDSS-II SN 14444 (g'r'i'),0.85566616,0.9305543,-1.6094548,-0.27597645,0.9636146,1.8462735,2.3372316
SDSS-II SN 14452 (g'r'i'),-0.005316372,1.330244,-2.339543,-0.06706818,0.41094172,1.0758735,3.0270314
SDSS-II SN 14453 (g'r'i'),0.7628083,0.15921864,-0.83215636,0.52290577,-1.3426071,1.6420212,2.6694334
SDSS-II SN 14455 (g'r'i'),1.5894042,-0.81415033,-1.9935437,0.90489995,-1.4700476,-0.29571098,2.133103
SDSS-II SN 14461 (g'r'i'),2.420478,-1.6772088,0.9557191,0.15934557,-0.18506078,-2.7314959,-1.1050493
SDSS-II SN 14463 (g'r'i'),0.11457635,0.04546305,0.4386972,-0.9095128,0.5056001,2.193716,-1.5801625
SDSS-II SN 14467 (g'r'i'),1.3616774,-0.9835891,-0.38409564,0.59642386,0.2214794,2.292545,1.0132303
SDSS-II SN 14470 (g'r'i'),0.11649792,0.39524308,-0.337621,-0.06892379,1.7235364,2.7109842,0.7293534
SDSS-II SN 14472 (g'r'i'),1.7904254,-1.7200063,1.2073127,-0.12810339,0.8594032,-0.31721634,-1.8578907
SDSS-II SN 14475 (g'r'i'),0.24437767,-0.61297154,0.49537054,1.6302031,-1.7801837,2.0714471,0.00022534965
SDSS-II SN 14478 (g'r'i'),0.46209496,1.8716755,-0.3553443,2.7541444,-1.8858342,-0.0784875,2.8715432
SDSS-II SN 14496 (g'r'i'),1.8935647,-0.6538322,-1.5229846,-0.572055,0.24812217,-1.0297045,2.162711
SDSS-II SN 14498 (g'r'i'),0.3814264,0.9229468,0.221078,2.0549362,-1.7713724,1.3172762,1.9402101
SDSS-II SN 14505 (g'r'i'),1.6836823,-0.14745878,-2.018505,0.19622941,-0.96044904,-0.89069504,2.7798147
SDSS-II SN 14522 (g'r'i'),-0.37934685,0.78822225,-3.1593826,1.7335225,-0.5175879,0.76138556,3.0279822
SDSS-II SN 14528 (g'r'i'),-1.243017,-1.0311984,1.9135503,-1.3991596,-1.495037,0.7910672,-1.3433645
SDSS-II SN 14531 (g'r'i'),1.2380203,-0.584037,-3.4529145,1.3894801,-0.45463383,0.9362301,1.9233346
SDSS-II SN 14539 (g'r'i'),-0.5997654,1.1401372,-3.1496146,1.750101,-0.10026617,0.7720307,3.047154
SDSS-II SN 14540 (g'r'i'),-0.06747444,0.37402356,-0.15725005,-1.733937,1.516598,1.4574239,-1.1232424
SDSS-II SN 1456 (g'r'i'),1.3504705,-2.4780037,1.5736299,-0.872715,-1.808442,-1.9466063,-2.404129
SDSS-II SN 14561 (g'r'i'),0.1648781,1.9021933,-1.6683537,2.801463,-1.4474013,0.15594624,3.2089715
SDSS-II SN 14577 (g'r'i'),-1.1448691,-1.3709573,2.9365768,-0.42919603,-0.6617119,0.57509303,-2.0624387
SDSS-II SN 14589 (g'r'i'),-0.12908399,2.0688422,-2.6473455,1.6493366,0.48913124,0.64733225,3.2046976
SDSS-II SN 14635 (g'r'i'),2.0762134,-0.3836772,-0.8443059,-1.1129996,0.7387215,0.4878563,2.1126342
SDSS-II SN 14638 (g'r'i'),1.848922,-0.34173888,-1.0624611,-1.0405303,0.8131636,0.6291319,1.9828523
SDSS-II SN 14639 (g'r'i'),1.615971,-2.1212263,1.209016,-1.4350144,0.07129715,-3.0642817,-3.749286
SDSS-II SN 14658 (g'r'i'),-0.117210515,-3.7343302,3.1490102,-1.7957896,1.3787925,-3.6650794,-4.819185
SDSS-II SN 14661 (g'r'i'),-2.2164228,2.9511905,0.043464594,3.0003755,-0.3971358,1.0631461,2.676608
SDSS-II SN 1470 (g'r'i'),1.177068,-2.7881513,1.98131,-1.0924724,-1.8041298,-2.404627,-3.0681767
SDSS-II SN 14744 (g'r'i'),2.2858307,-1.5736996,0.78524077,-0.17498872,-0.32695475,-1.3774872,-0.15762901
SDSS-II SN 14750 (g'r'i'),0.12256978,0.7002918,0.3578115,1.9408431,0.8909197,2.3443916,0.18709098
SDSS-II SN 14751 (g'r'i'),-0.2566839,-0.184101,0.07123315,0.621244,1.490034,2.8577414,-0.4513988
SDSS-II SN 14784 (g'r'i'),1.046798,-0.6380018,0.34001598,-1.356551,-0.021600772,1.6094931,-0.16893713
SDSS-II SN 14786 (g'r'i'),1.5816989,-0.073703334,-2.5728273,0.3789394,-0.74576026,-0.5033219,2.8429155
SDSS-II SN 14792 (g'r'i'),2.124927,-1.6403536,1.006688,0.07604777,-0.7452477,-1.8496431,-0.6988473
