0,1,2,3,4,5,6,7,8,9
SDSS-II SN 12924 (g'r'i'),0.7881344,-0.90104395,-0.8210267,1.1754748,-0.5171887,-1.4408971,0.867472,-1.6968726,1.9667597
SDSS-II SN 12929 (g'r'i'),-1.9221203,-5.033056,1.8383186,0.2539533,-0.21489999,-0.9626482,-0.7374985,1.56871,-2.6984985
SDSS-II SN 12939 (g'r'i'),0.19190243,-1.1169492,-1.1490802,1.310155,0.9437629,-0.72204924,-0.9414124,-1.7823803,-0.7209407
SDSS-II SN 12941 (g'r'i'),-1.868912,-1.3811132,3.5619133,0.34160104,-0.65583795,1.174917,-0.9671572,-0.44372204,-0.39391664
SDSS-II SN 12942 (g'r'i'),-3.2626996,-4.719533,2.5164268,0.24642737,-0.15572661,-0.53292686,-0.92660517,1.8637419,-2.1333601
SDSS-II SN 12964 (g'r'i'),0.271564,-0.83718896,-1.2341151,1.2855097,0.92632747,-0.8220521,-1.1661382,-1.8129584,-0.7054785
SDSS-II SN 12978 (g'r'i'),-0.11102874,-0.8615205,0.5071237,1.0129232,-0.6976616,1.1054678,0.7764283,2.1518192,-0.63685507
SDSS-II SN 13009 (g'r'i'),-0.35178292,-3.3604753,-0.28659242,2.0758245,0.47764596,-0.7363477,0.0037038825,-0.5730902,-0.5476706
SDSS-II SN 13016 (g'r'i'),-0.14342885,-0.60179263,-0.6022267,1.0258794,-0.25360352,-0.6417402,1.452079,-0.5179258,1.5265089
SDSS-II SN 1302 (g'r'i'),0.3284569,-0.9908276,-1.4097493,1.4376203,0.85980463,-0.6759244,-0.9684854,-1.6267447,-1.0439061
SDSS-II SN 13027 (g'r'i'),1.5015216,1.1693321,-1.7995914,0.84983385,0.50502586,-1.2751045,-1.3254212,-2.5992696,1.2966094
SDSS-II SN 13051 (g'r'i'),0.38118982,-0.61610794,-1.4004916,1.1777097,1.0301985,-0.7460307,-1.3797133,-1.7319542,-1.1536261
SDSS-II SN 13058 (g'r'i'),-2.9500604,-3.7725718,2.3099585,0.6966473,1.0984229,-0.08926053,0.086342484,1.6968706,-0.9807481
SDSS-II SN 13062 (g'r'i'),-0.32765877,-3.848963,0.7341583,-0.90797883,-0.13048674,-1.3617954,0.11288405,0.05540859,-2.4342723
SDSS-II SN 13076 (g'r'i'),-2.667672,-3.8469768,2.2850187,0.52625704,1.2795938,-0.3351494,-0.065284945,1.3021662,-0.8949048
SDSS-II SN 13096 (g'r'i'),1.4114045,-0.5609159,-0.2745146,0.028285684,0.23711647,-1.733673,0.28334963,-1.6826392,2.1688259
SDSS-II SN 13106 (g'r'i'),-1.4294744,-4.0815015,2.8420095,-1.1438805,1.61222,-0.6139173,-0.675169,0.20753007,-1.038659
SDSS-II SN 13112 (g'r'i'),-1.4029495,-4.6287374,2.3265295,0.18922979,-1.7016761,-0.86223537,-1.1154435,1.0714568,-3.0409257
SDSS-II SN 13147 (g'r'i'),0.6408461,0.027840637,0.06834636,-0.5925284,1.056065,-1.4229008,-0.65237445,-2.207437,1.9680554
SDSS-II SN 13148 (g'r'i'),1.9734497,2.508217,-2.7041311,1.1924235,-1.3483899,0.9319323,0.35088953,-0.64733386,0.5133052
SDSS-II SN 13158 (g'r'i'),-0.6156532,-2.941273,0.7709737,-1.1093318,0.5693817,-1.2650024,-0.103657894,-0.95667845,-1.1119303
SDSS-II SN 13168 (g'r'i'),-1.3573834,-1.0507336,2.5726535,0.014892337,0.42396054,1.216794,-0.124666505,-0.01581108,0.24635488
SDSS-II SN 13269 (g'r'i'),-0.6965005,-3.3406346,0.71659696,0.010023048,1.5051855,-0.9498435,0.9894496,-0.4388404,-1.4059527
SDSS-II SN 13277 (g'r'i'),-0.55413646,-4.10637,0.93866605,-0.9170407,-0.12301168,-1.5397825,-0.113813154,0.16240816,-2.5820832
SDSS-II SN 13291 (g'r'i'),-3.285023,-5.0143223,2.6646338,-0.19250916,-1.3376132,-0.22923389,-0.18110512,2.6288915,-3.078195
SDSS-II SN 13304 (g'r'i'),0.9374441,-1.815803,-1.2310647,0.61168563,-0.7776562,-1.2375108,0.08610052,-1.830312,1.0504206
SDSS-II SN 13323 (g'r'i'),0.30672565,1.4057215,-1.1321812,0.15384889,-0.48521006,-1.1817938,0.76995903,-0.47308618,2.1144066
SDSS-II SN 13329 (g'r'i'),-0.44491053,0.1768648,0.1901504,0.14394021,0.57707465,-0.5234429,1.1794134,-0.28211883,1.8958094
SDSS-II SN 13330 (g'r'i'),-1.0019367,-2.7578545,0.83366346,-0.89407444,0.5787439,-1.3837242,-0.60502553,-0.97988844,-1.0327442
SDSS-II SN 13339 (g'r'i'),0.2984538,-0.3208576,-1.0681739,0.8493739,1.1297963,-0.9932423,-1.6886014,-2.1459174,-0.53884494
SDSS-II SN 13344 (g'r'i'),0.2704414,-0.69938856,-1.0245911,1.0250791,1.0074573,-0.9194412,-1.3029039,-2.0791023,-0.31812686
SDSS-II SN 13383 (g'r'i'),-1.1301283,0.0024325985,-0.14335276,0.39247033,-0.2036287,1.2422521,1.4197239,1.3681965,0.88470924
SDSS-II SN 13395 (g'r'i'),-1.0350962,-2.763403,-0.06830313,1.5493561,0.48303938,-0.6230712,-0.5945885,-0.103413485,-1.4707135
SDSS-II SN 13406 (g'r'i'),-0.7685543,-2.9092143,1.78385,-1.1727216,1.265827,-0.65835524,-0.3849677,-0.85180324,-0.38011804
