0,1,2,3,4,5,6
PS1-12bku,-0.8487734198570251,3.9238107204437256,4.7466020584106445,-1.0493279695510864,1.1980866193771362,3.0068962574005127
SDSS-II SN 10054,-2.1581480503082275,-0.8026526570320129,-1.2328898906707764,0.1266411542892456,1.6307408809661865,-2.2179501056671143
SDSS-II SN 10113,0.2448800504207611,-0.4767626225948334,-1.7388064861297607,1.5634422302246094,-1.2184261083602905,-1.2726408243179321
SDSS-II SN 10161,-1.8982423543930054,3.4421753883361816,3.457937002182007,0.1132088229060173,0.8700389266014099,3.187110424041748
SDSS-II SN 1024,-1.2262037992477417,5.2342963218688965,3.5647103786468506,-1.2140809297561646,1.2270749807357788,3.0008254051208496
SDSS-II SN 10299,-0.1875627040863037,-1.115831971168518,-1.1811130046844482,1.4899855852127075,0.9005435109138489,-1.1271440982818604
SDSS-II SN 10324,1.5716028213500977,-3.7976322174072266,-3.4248440265655518,1.3448517322540283,0.3653915822505951,-1.535386323928833
SDSS-II SN 10450,0.013624525628983974,0.22207973897457123,-1.038635015487671,2.2201132774353027,-0.23907402157783508,-0.5214597582817078
SDSS-II SN 1048,-2.698065757751465,4.7548322677612305,2.154033660888672,-0.34001246094703674,0.8510671257972717,3.154005289077759
SDSS-II SN 10506,0.3636077344417572,-0.12490140646696091,-0.4683369994163513,2.603379249572754,-0.5031362771987915,-0.5014384388923645
SDSS-II SN 10559,1.121046781539917,-0.9436891674995422,-2.0593173503875732,2.8147549629211426,-1.2749829292297363,-0.6882016062736511
SDSS-II SN 10620,-0.08458975702524185,0.18063825368881226,0.3370909094810486,1.0471904277801514,0.5966415405273438,-0.885766863822937
SDSS-II SN 10976,-0.5749679207801819,-0.057456545531749725,-3.191236734390259,0.5034877061843872,2.0130808353424072,-2.162419080734253
SDSS-II SN 10991,0.5377039909362793,-4.836506366729736,-2.345614194869995,1.7036285400390625,0.29712966084480286,-0.09765864163637161
SDSS-II SN 10997,0.5182377099990845,-0.35509002208709717,-2.5758216381073,1.4172054529190063,-0.17090168595314026,-1.3368480205535889
SDSS-II SN 1109,-0.5597651600837708,3.0520875453948975,4.052565574645996,-0.46639060974121094,0.6573480367660522,2.6908650398254395
SDSS-II SN 11094,-2.6399343013763428,1.4288252592086792,0.7695817947387695,-0.5418434143066406,1.6603798866271973,0.5667487382888794
SDSS-II SN 11120,-0.4726656973361969,0.4586305618286133,-3.0543501377105713,0.35447898507118225,1.924634575843811,-1.8712372779846191
SDSS-II SN 1113,0.3960898816585541,4.004637241363525,2.3630213737487793,-0.3320130407810211,-0.01217966340482235,2.2130329608917236
SDSS-II SN 1115,-1.1728137731552124,2.5507912635803223,4.311871528625488,-0.6067774295806885,0.8174772262573242,2.838070869445801
SDSS-II SN 11156,0.5363156795501709,-0.45130181312561035,-3.3985676765441895,0.844863772392273,-0.15374042093753815,-1.4410068988800049
SDSS-II SN 11181,2.442835807800293,-2.332251787185669,-2.110328197479248,2.3994381427764893,-1.0744807720184326,-1.7510806322097778
SDSS-II SN 11204,0.04067077487707138,1.2802114486694336,-3.3359129428863525,0.4928925037384033,-0.12563425302505493,0.5417574644088745
