,SN,0,1,2,3,4,5,6,7
49,SN2005fq,-0.48120445,8.851256,6.2875776,1.8268644,1.2025388,-8.893474,1.0393952,-3.0517852
50,SN2005hw,0.06782561,0.33598503,0.05214763,0.40551174,12.062455,-8.222751,-2.2406213,-3.189903
51,SN2005lk,-4.0918083,2.8863945,1.5590129,11.119961,-2.2280042,-2.4435015,2.6480412,10.623656
52,SN2006lm,-1.431939,2.5290306,-7.932992,6.711828,-7.332475,-8.573739,0.35338733,-3.289708
53,SN2006oy,-6.354302,6.289241,-4.8589697,8.406482,-7.34688,-2.0748072,-0.6161606,-4.2978992
54,SN2006ta,-3.672521,6.159976,0.15997604,2.3181005,-8.592171,-3.0210404,-4.2807817,-1.0174749
55,SN2007jc,-2.3914073,-1.095534,-5.312786,4.9937477,-0.15799218,-5.2184467,-0.5715807,9.348198
56,SN2007jx,0.63312715,3.2959461,-5.622816,4.936922,-1.5902941,-6.4306607,3.7210844,16.13507
57,SN2007qz,0.31853864,3.962604,4.4135695,6.8944592,-0.7935076,-9.087623,10.119366,2.2762468
58,SDSS-II SN 10106,6.2485523,4.9697385,-3.0014925,8.650845,-1.4692707,3.014733,-0.51418275,-1.9983981
59,SDSS-II SN 11094,-0.14752539,5.33769,3.888328,0.6525568,-6.1005487,-10.795397,0.73506594,-0.024016231
60,SDSS-II SN 11850,1.3271523,-0.60875136,-2.3322356,2.2558546,-3.8246136,-1.7717745,-10.689792,-6.405684
61,SDSS-II SN 13955,-0.43762287,-3.1314359,-2.2930965,2.7960505,5.4278574,-1.1704288,-6.0636945,9.8945
62,SDSS-II SN 14053,2.0106478,-3.304993,0.40388793,1.1210916,-4.69237,-5.8122406,-6.8676205,-1.3748949
63,SDSS-II SN 14102,-1.2799144,3.2174008,-2.7078397,1.9181949,-5.5042915,9.144601,-2.497812,-2.222925
64,SDSS-II SN 14228,1.174223,4.481634,-7.358655,-3.7459385,-7.8682685,-1.4040924,0.93771935,5.603548
65,SDSS-II SN 14285,1.7763617,-4.1526895,2.7372842,6.878329,0.6185012,5.791817,-1.3662301,-9.95488
66,SDSS-II SN 14322,-6.307638,3.219349,-0.46153322,5.4411664,4.3993855,3.580871,0.8483776,-8.608739
67,SDSS-II SN 1456,-0.21736273,-11.660936,-2.1106794,2.9320924,1.0606627,-2.174827,-9.192166,-4.438445
68,SDSS-II SN 14851,-1.249005,-2.7749956,-2.0508347,2.048249,0.028758418,-0.9491711,-1.5096135,15.366048
69,SDSS-II SN 1513,-0.21944037,-1.4325495,0.634629,4.152082,-3.292525,-8.024718,7.484181,-1.7651343
70,SDSS-II SN 15428,4.291943,-2.4295044,0.555217,1.9282733,6.132193,-6.3510566,-0.31066412,-9.347669
71,SDSS-II SN 15470,-0.32961795,2.1527092,-10.354841,-2.29871,0.9983962,-5.0215406,3.604896,2.4175107
72,SDSS-II SN 1562,0.24958359,-7.0806274,0.23951949,0.9477548,-7.577118,-5.851129,2.982086,-3.34984
73,SDSS-II SN 15988,-3.6339955,-3.6282585,-4.375802,3.210553,-2.1263487,-6.1072583,-3.238395,-12.73288
74,SDSS-II SN 15992,6.119331,-0.025348518,-3.532206,2.99304,5.543713,0.47026607,4.1147895,-3.8805027
75,SDSS-II SN 16094,4.549894,-4.2743073,-5.6957197,5.9482574,-1.101951,-0.04129591,-6.901867,-0.41524425
76,SDSS-II SN 1706,-0.3249618,-1.7826802,-2.343662,2.760751,1.8643222,0.12218823,5.996256,11.470064
77,SDSS-II SN 17455,-0.5159233,-0.207379,-8.8448715,0.45428944,-3.9759884,-7.998935,-3.0322983,-3.0911858
78,SDSS-II SN 17644,-3.2799284,3.7046776,0.9997476,7.4621096,4.3925405,-1.3370048,3.400674,10.36617
79,SDSS-II SN 17845,3.0657241,4.577036,0.56545794,2.0885098,-1.3729922,-6.5197024,8.279558,6.3889966
80,SDSS-II SN 18032,-4.763661,4.3909764,0.09475204,2.2141724,-5.083402,-9.361597,3.4603212,2.3033822
81,SDSS-II SN 18048,4.5932684,-1.2357612,-2.9882863,0.6842614,2.0614357,-8.2502165,-4.4509726,5.522954
82,SDSS-II SN 18165,-0.8843297,7.682479,0.2267978,0.016949119,-5.8568873,-8.56139,-3.3019114,3.8841422
83,SDSS-II SN 18311,2.383549,2.5785308,0.5746334,0.13816461,-10.80808,-3.7732425,5.0900974,-2.557306
84,SDSS-II SN 18339,6.100995,3.0332072,-3.622983,5.0514994,-2.0049708,-6.5938115,2.3196764,-1.7915661
85,SDSS-II SN 18365,3.5226874,-0.331519,-2.2905781,0.64251053,-5.2260528,-5.7059264,4.141263,3.103379
86,SDSS-II SN 18601,-2.4529753,-0.16724451,-1.9073982,-3.7691998,-10.536603,-0.100436226,-5.9539227,-7.7557373
87,SDSS-II SN 18688,-2.6992137,-6.2870064,-0.48807442,2.8357465,-5.849423,-3.8580685,-11.408363,-5.8262067
88,SDSS-II SN 19045,-2.2060103,1.0896281,-4.3235607,1.1580626,-6.31858,-8.338572,-1.7676376,4.3514385
89,SDSS-II SN 19175,-3.032317,0.71335053,2.9236748,2.0137503,3.4372241,1.4357892,10.197099,-2.179377
90,SDSS-II SN 19181,-5.1035814,4.506273,0.57802993,3.0860143,0.51109,7.2821927,1.304045,-1.1700696
