0,1,2,3,4,5
PS1-12bku,7.231985569000244,-0.08647281676530838,-2.5846564769744873,1.8629781007766724,-1.6792980432510376
SDSS-II SN 10054,-1.987214207649231,-1.5091453790664673,1.0270451307296753,-2.271285057067871,-2.401102066040039
SDSS-II SN 10113,-1.7708830833435059,0.8925262093544006,1.396959900856018,-2.0957555770874023,1.2784709930419922
SDSS-II SN 10161,6.599698543548584,0.7473846077919006,-1.2772303819656372,0.43199729919433594,-1.0093891620635986
SDSS-II SN 1024,7.734770774841309,-1.26222825050354,-2.5625736713409424,0.7681505084037781,-0.4248202443122864
SDSS-II SN 10299,-1.734871745109558,0.3904891014099121,2.0751607418060303,-1.172910451889038,-0.7808883190155029
SDSS-II SN 10324,-4.913639068603516,1.440637230873108,3.118917226791382,0.4761303961277008,0.9330108165740967
SDSS-II SN 10450,-0.3310021162033081,0.9192888736724854,2.1813859939575195,-2.074617624282837,0.4811449348926544
SDSS-II SN 1048,6.831042766571045,-0.4032805263996124,-1.3567901849746704,-1.2752807140350342,-0.8281482458114624
SDSS-II SN 10506,-0.37038302421569824,1.7506729364395142,2.225825309753418,-2.3026282787323,0.2481275349855423
SDSS-II SN 10559,-1.8474106788635254,2.0790741443634033,2.7299792766571045,-2.1241872310638428,1.7211360931396484
SDSS-II SN 10620,-0.0038587565068155527,0.3427516520023346,1.2300596237182617,-1.0555665493011475,-1.0250170230865479
SDSS-II SN 10976,-2.0122618675231934,-2.8084235191345215,2.7955918312072754,-1.7518619298934937,0.12286670506000519
SDSS-II SN 10991,-3.7982072830200195,2.9823641777038574,2.6204731464385986,1.6933702230453491,0.16147007048130035
SDSS-II SN 10997,-2.117421865463257,-0.12572163343429565,2.2548274993896484,-1.6506102085113525,1.251961350440979
SDSS-II SN 1109,5.986739158630371,0.38396474719047546,-1.9742721319198608,2.012603998184204,-1.0727051496505737
SDSS-II SN 11094,2.9391345977783203,-1.4306150674819946,0.283568799495697,-1.404363989830017,-1.8657419681549072
SDSS-II SN 11120,-1.5316898822784424,-2.7491841316223145,2.5977439880371094,-1.781808853149414,0.4170580208301544
SDSS-II SN 1113,5.266630172729492,-1.1007428169250488,-1.1742929220199585,1.759183406829834,1.2465699911117554
SDSS-II SN 1115,5.97187614440918,0.7991213798522949,-1.8667094707489014,1.5980942249298096,-2.0436220169067383
SDSS-II SN 11156,-2.589745283126831,-0.7030020356178284,2.131209135055542,-1.2277214527130127,1.7977826595306396
SDSS-II SN 11181,-4.159656047821045,2.4510061740875244,2.88702392578125,-2.0979323387145996,1.4236152172088623
SDSS-II SN 11204,-0.11405980587005615,-1.4784507751464844,2.22283673286438,-1.6534059047698975,2.743342161178589
SDSS-II SN 11305,-6.252449035644531,3.2432613372802734,2.0967559814453125,1.0313385725021362,0.6926449537277222
SDSS-II SN 1131,6.321234226226807,0.41496503353118896,-1.5915547609329224,1.398961067199707,-0.6920342445373535
