Name,g',r',i',claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
SDSS-II SN 12964,3,5,5,Ia,0.2167;0.2167,SDSS-II SN 12964,0,0,0,0,0,0
SDSS-II SN 12978,13,17,16,Ia;Ia,0.157;0.225;0.227,SDSS-II SN 12978,0,0,0,0,0,0
SDSS-II SN 13009,6,9,14,Ia,,SDSS-II SN 13009,0,0,0,0,0,0
SDSS-II SN 13016,4,7,6,Ia;Ia,0.25098,SDSS-II SN 13016,0,0,0,0,0,0
SDSS-II SN 1302,6,6,8,Ia;Ia,0.282,SDSS-II SN 1302,0,0,0,0,0,0
SDSS-II SN 13027,17,18,15,II,,SDSS-II SN 13027,0,0,0,0,0,0
SDSS-II SN 13051,3,4,8,Ia,0.285147,SDSS-II SN 13051,0,0,0,0,0,0
SDSS-II SN 13058,3,11,14,II,0.187103,SDSS-II SN 13058,0,0,0,0,0,0
SDSS-II SN 13062,13,10,4,II,0.416357,SDSS-II SN 13062,0,0,0,0,0,0
SDSS-II SN 13076,10,14,16,II;Ia,0.311;0.273,SDSS-II SN 13076,0,0,0,0,0,0
SDSS-II SN 13096,5,6,6,Ia,0.392006,SDSS-II SN 13096,0,0,0,0,0,0
SDSS-II SN 13106,4,12,11,II,0.106187,SDSS-II SN 13106,0,0,0,0,0,0
SDSS-II SN 13112,12,10,3,II,,SDSS-II SN 13112,0,0,0,0,0,0
SDSS-II SN 13123,9,11,13,II,,SDSS-II SN 13123,0,0,0,0,0,0
SDSS-II SN 13129,4,8,4,II,,SDSS-II SN 13129,0,0,0,0,0,0
SDSS-II SN 13130,15,15,12,II,,SDSS-II SN 13130,0,0,0,0,0,0
SDSS-II SN 13131,4,6,8,II,0.158047,SDSS-II SN 13131,0,0,0,0,0,0
SDSS-II SN 13145,13,14,6,II,,SDSS-II SN 13145,0,0,0,0,0,0
SDSS-II SN 13147,6,6,6,Ia,0.37,SDSS-II SN 13147,0,0,0,0,0,0
SDSS-II SN 13148,6,5,5,II,,SDSS-II SN 13148,0,0,0,0,0,0
SDSS-II SN 13158,8,8,5,II,,SDSS-II SN 13158,0,0,0,0,0,0
SDSS-II SN 13168,5,7,9,Ia;Ia,0.337;0.271;0.242,SDSS-II SN 13168,0,0,0,0,0,0
