SN2016ija (gri), -0.6053236628325616
SN2016fbo (gri), -0.6021572561034948
SNLS-06D3gx (gri), -0.5842056406957541
SNLS-06D3do (gri), -0.5644238124110605
SDSS-II SN 1706 (g'r'i'), -0.5620915208207363
SN2013cv (gri), -0.561520079982151
LSQ13dpa (gri), -0.5603475487793229
SN2009hd (BRI), -0.5601019093063033
SN2002bj (BRI), -0.5590078999727266
SDSS-II SN 13112 (g'r'i'), -0.5585803857032887
SN2006ob (g'r'i'), -0.5572916765491267
SN2017mf (gri), -0.5561469809906597
SDSS-II SN 14170 (g'r'i'), -0.5559440617241185
SNLS-03D1cm (gri), -0.5557595150814089
SN2016ixf (gri), -0.5536130013364379
SDSS-II SN 17756 (g'r'i'), -0.5518896328806173
SNLS-05D4ay (gri), -0.550846937667712
SN2006ej (gri), -0.5504986970484698
SDSS-II SN 15565 (g'r'i'), -0.5498937386853344
SDSS-II SN 13461 (g'r'i'), -0.549691462356986
SDSS-II SN 19069 (g'r'i'), -0.5491488912209598
Gaia16aye (gri), -0.5486868152022807
SDSS-II SN 2050 (g'r'i'), -0.5481869940998546
SDSS-II SN 19504 (g'r'i'), -0.5478928023828737
SN2005jw (g'r'i'), -0.546893355249941
SDSS-II SN 15745 (g'r'i'), -0.5459730929727138
SDSS-II SN 5314 (g'r'i'), -0.5457601634061432
SN2005ho (g'r'i'), -0.5447065789450546
SN2016bmc (gri), -0.5428896238741525
SDSS-II SN 18391 (g'r'i'), -0.5408173409532987
SN2006pt (g'r'i'), -0.54057079361085
SN1997by (BRI), -0.5402945305582352
SDSS-II SN 14577 (g'r'i'), -0.540129400163212
SN2005bp (BRI), -0.5399826498444137
SNLS-04D3bf (gri), -0.5399382993692682
SNLS-04D2cf (gri), -0.5398493521546263
SNLS-05D1if (gri), -0.5395932543657541
SDSS-II SN 4330 (g'r'i'), -0.5395346661221765
SN2001dc (BRI), -0.5395016077486592
SNLS-05D4cn (gri), -0.539377720321496
